cluster,representative,cluster_size,dist_to_centroid,cluster_mean_IR,cluster_mean_CV,cluster_mean_nr_class,cluster_mean_nr_attr,cluster_mean_nr_inst
0,openml_44382_pol_seed_0_nrows_2000_nclasses,1,0.0,1.0,0.0,2.0,26.0,1600.0
1,pmlb_analcatdata_authorship,1,0.0,5.75,0.5003364797518981,4.0,70.0,672.0
2,pmlb_calendarDOW,1,0.0,2.2,0.2386154512098441,5.0,32.0,319.0
3,openml_45495_timing-attack-dataset-15-micro,1,0.0,1.1135371179039302,0.0348639705508201,11.0,124.0,1994.0
4,openml_46184_Flare,1,0.0,7.794117647058823,0.5371228526179741,6.0,11.0,852.0
5,pmlb_ann_thyroid,1,0.0,40.097744360902254,1.2574220480358111,3.0,21.0,1999.0
6,openml_44700_Fashion-MNIST_seed_2_nrows_200,1,0.0,1.0,0.0,10.0,100.0,1600.0
7,openml_44443_covertype_seed_0_nrows_2000_nc,1,0.0,1.0,0.0,2.0,54.0,1600.0
8,openml_41882_FOREX_audjpy-day-High,1,0.0,1.0546984572230014,0.0266211604095563,2.0,11.0,1465.0
9,openml_45545_Tour-and-Travels-Customer-Chur,1,0.0,3.2625698324022347,0.5307994757536042,2.0,6.0,763.0
10,pmlb_clean1,1,0.0,1.303030303030303,0.131578947368421,2.0,168.0,380.0
11,openml_1121_badges2,1,0.0,2.5074626865671643,0.4297872340425532,2.0,10.0,235.0
12,openml_1022_mfeat-pixel,1,0.0,9.0,0.8,2.0,240.0,1600.0
13,openml_46951_Pumpkin_Seeds,1,0.0,1.0833333333333333,0.04,2.0,12.0,2000.0
14,pmlb_splice,1,0.0,2.1669394435351883,0.3943206968894562,3.0,60.0,2550.0
15,openml_45020_default-of-credit-card-clients,1,0.0,1.0001883948756594,9.418856550814732e-05,2.0,20.0,1999.0
16,openml_44603_cnae-9_seed_0_nrows_2000_nclas,1,0.0,1.0,0.0,9.0,100.0,864.0
17,pmlb_satimage,1,0.0,2.447105788423153,0.3714817474627648,6.0,36.0,1996.0
18,pmlb_ecoli,1,0.0,7.125,0.6578891044254798,5.0,7.0,261.0
19,pmlb_cars,1,0.0,3.6296296296296298,0.6222572744352484,3.0,8.0,313.0
20,openml_939_chscase_whale,1,0.0,1.0449438202247192,0.0219780219780219,2.0,8.0,182.0
21,openml_46826_SOCC,1,0.0,110.5,1.2808292440372824,4.0,13.0,834.0
22,openml_40701_churn,1,0.0,6.067137809187279,0.717,2.0,20.0,2000.0
23,openml_46761_mental_health_detection,1,0.0,128.0,1.073724799532131,10.0,15.0,432.0
24,openml_44033_electricity,1,0.0,1.0000649814802782,3.248968452516326e-05,2.0,8.0,1999.0
25,pmlb_collins,1,0.0,4.571428571428571,0.5111546678687426,13.0,23.0,388.0
26,openml_1557_abalone,1,0.0,1.0935727788279772,0.0371267033902081,3.0,8.0,1999.0
27,pmlb_penguins,1,0.0,2.1666666666666665,0.294435552619568,3.0,7.0,266.0
28,openml_44582_Diabetes130US_seed_4_nrows_200,1,0.0,4.848314606741573,0.5254469823397979,3.0,49.0,1600.0
29,openml_44472_yeast_seed_4_nrows_2000_nclass,1,0.0,92.5,1.1092869294588157,10.0,8.0,1187.0
30,openml_970_analcatdata_authorship,1,0.0,1.6561264822134387,0.2470238095238095,2.0,70.0,672.0
31,pmlb_new_thyroid,1,0.0,5.0,0.7734087975960878,3.0,5.0,172.0
32,openml_36_segment,1,0.0,1.0,0.0,7.0,19.0,1848.0
33,openml_47151_aztrees3,1,0.0,7.838589981447124,0.7737195633921075,2.0,21.0,1999.0
