dataset,best_method
openml_1002_ipums_la_98-small,SMOTEENN
openml_1022_mfeat-pixel,BorderlineSMOTE
openml_1121_badges2,RandomOverSampler
openml_1459_artificial-characters,KMeansSMOTE
openml_1480_ilpd,ADASYN
openml_1498_sa-heart,KMeansSMOTE
openml_1508_user-knowledge,CBSO
openml_1524_vertebra-column,SVMSMOTE
openml_1557_abalone,DBSMOTE
openml_1590_adult,SMOTEENN
openml_335_monks-problems-3,RandomOverSampler
openml_36_segment,RandomOverSampler
openml_375_JapaneseVowels,ADASYN
openml_40701_churn,SVMSMOTE
openml_40708_allrep,SMOTEENN
openml_41143_jasmine,RandomOverSampler
openml_41719_FOREX_eurjpy-day-High,RandomOverSampler
openml_41725_FOREX_eurcad-day-High,RandomOverSampler
openml_41746_FOREX_cadchf-day-High,KMeansSMOTE
openml_41750_FOREX_eurhuf-day-Close,SMOTEENN
openml_41763_FOREX_audcad-hour-High,RandomOverSampler
openml_41768_FOREX_eurnok-hour-High,RandomOverSampler
openml_41782_FOREX_usdjpy-hour-Close,RandomOverSampler
openml_41783_FOREX_eurdkk-day-Close,RandomOverSampler
openml_41788_FOREX_audnzd-day-High,RandomOverSampler
openml_41806_FOREX_audjpy-hour-Close,RandomOverSampler
openml_41816_FOREX_usddkk-hour-High,RandomOverSampler
openml_41862_FOREX_eurrub-hour-Close,SMOTEENN
openml_41882_FOREX_audjpy-day-High,MWMOTE
openml_41885_FOREX_chfsgd-hour-Close,distance_SMOTE
openml_42345_Traffic_violations,cluster_SMOTE
openml_43900_amazon_employee_access,SMOTEENN
openml_43901_click_prediction_small,SMOTEENN
openml_43904_law-school-admission-bianry,SMOTEENN
openml_43941_anneal,RandomOverSampler
openml_43977_jannis,RandomOverSampler
openml_43_haberman,SMOTEENN
openml_44033_electricity,KMeansSMOTE
openml_44035_KDDCup09_upselling,MWMOTE
openml_44072_phoneme,KMeansSMOTE
openml_44266_anneal,RandomOverSampler
openml_44353_credit_seed_0_nrows_2000_nclas,AHC
openml_44364_california_seed_2_nrows_2000_n,RandomOverSampler
openml_44368_wine_seed_1_nrows_2000_nclasse,RandomOverSampler
openml_44376_electricity_seed_4_nrows_2000_,RandomOverSampler
openml_44382_pol_seed_0_nrows_2000_nclasses,AHC
openml_44386_pol_seed_4_nrows_2000_nclasses,AHC
openml_44415_MiniBooNE_seed_3_nrows_2000_nc,SMOTETomek
openml_44443_covertype_seed_0_nrows_2000_nc,RandomOverSampler
openml_44453_road-safety_seed_0_nrows_2000_,SMOTEENN
openml_44454_road-safety_seed_1_nrows_2000_,AHC
openml_44472_yeast_seed_4_nrows_2000_nclass,DBSMOTE
openml_44492_wilt_seed_4_nrows_2000_nclasse,SMOTE
openml_44508_APSFailure_seed_0_nrows_2000_n,SVMSMOTE
openml_44567_philippine_seed_4_nrows_2000_n,RandomOverSampler
openml_44568_ada_seed_0_nrows_2000_nclasses,SMOTE
openml_44582_Diabetes130US_seed_4_nrows_200,cluster_SMOTE
openml_44594_blood-transfusion-service-cent,SMOTEENN
openml_44603_cnae-9_seed_0_nrows_2000_nclas,RandomOverSampler
openml_44617_cmc_seed_4_nrows_2000_nclasses,SMOTEENN
openml_44656_Bioresponse_seed_3_nrows_2000_,cluster_SMOTE
openml_44660_churn_seed_2_nrows_2000_nclass,BorderlineSMOTE
openml_44678_sylvine_seed_0_nrows_2000_ncla,RandomOverSampler
openml_44681_sylvine_seed_3_nrows_2000_ncla,SMOTETomek
openml_44700_Fashion-MNIST_seed_2_nrows_200,SMOTETomek
openml_44715_nomao_seed_2_nrows_2000_nclass,SVMSMOTE
openml_44777_sf-police-incidents_seed_4_nro,SMOTEENN
openml_44788_KDDCup09-Upselling_seed_0_nrow,SMOTEENN
openml_44_spambase,CBSO
