k,accuracy,f1_macro,f1_weighted,balanced_accuracy,top2_accuracy
1,0.5634517766497462,0.3596567138367665,0.5587087999698732,0.36580822463175405,0.6751269035532995
2,0.5634517766497462,0.3596567138367665,0.5587087999698732,0.36580822463175405,0.6751269035532995
3,0.5482233502538071,0.34921936451747077,0.5378280472761664,0.3602438367144249,0.6852791878172588
4,0.5736040609137056,0.36654018777346015,0.5565085668552565,0.3654413419119301,0.7157360406091371
5,0.5888324873096447,0.3741283030677148,0.5695288569352234,0.36855984503043326,0.7411167512690355
6,0.5634517766497462,0.3676458695823482,0.5434403726816963,0.3584705702352761,0.7309644670050761
7,0.5482233502538071,0.3611770587909232,0.5249122325339192,0.352906182317947,0.7055837563451777
8,0.5532994923857868,0.3675806480154306,0.5334518583911653,0.35639156815627404,0.6954314720812182
9,0.5532994923857868,0.3655050097328958,0.5348702667586372,0.35639156815627404,0.6852791878172588
10,0.5532994923857868,0.36318616547449495,0.5291592879391553,0.3539456833574481,0.6903553299492385
11,0.5583756345177665,0.3654449669323811,0.5363225432816205,0.3562081267963621,0.6954314720812182
12,0.5583756345177665,0.3610788849061849,0.534669067043168,0.3562081267963621,0.6903553299492385
13,0.5685279187817259,0.3584461242432815,0.5396250701994985,0.3570641864759512,0.6954314720812182
14,0.5685279187817259,0.3550374042681735,0.5324547819979292,0.35584124407653817,0.700507614213198
15,0.5685279187817259,0.35534198408142387,0.531573254656204,0.35584124407653817,0.7055837563451777
16,0.5685279187817259,0.35518666062306015,0.5323420060172696,0.35584124407653817,0.700507614213198
17,0.5685279187817259,0.35589168209731237,0.5314021280723155,0.35584124407653817,0.700507614213198
18,0.5685279187817259,0.3565196839238888,0.5311835214647047,0.35584124407653817,0.700507614213198
19,0.5583756345177665,0.35428911879237124,0.5165060720204854,0.3513163571987101,0.6852791878172588
20,0.5583756345177665,0.3527922359171748,0.5152201735278605,0.3513163571987101,0.6852791878172588
