dataset_name,group,gen_base_type,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_n_samples_train,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_spatial_distortion,gen_subsampled_to,CV,HDB,HDB_mean_f1,HDB_std_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,joint_ent.sd,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,nr_attr,nr_class,nr_inst,pIR_cv,p_trace,roy_root,sd_ratio,t1,w_lambda
openml_1002_ipums_la_98-small,real_openml,real_openml,8.4627,2,55,1497,5988,0.0,0.0,,0.0,0.0,False,1999,0.7885771543086172,0.0,0.9601678981095546,0.0,8.459715639810426,1.3767421589852855,0.8877979679014877,0.767223770733295,0.4368042858972407,,0.48635430517234735,,,0.22461056758385614,0.23059722948687317,0.9676348377747077,2.3924807406430926,17.32810958199989,,,,,0.4457228614307154,,0.3996998499249625,,1.835029103268043,0.8769613798752028,0.23578535451920443,0.9283473652784371,0.028067360889589645,0.0355989293182848,0.2096048024012006,0.2995741674517724,0.18935209627392102,0.1425712856428214,0.3497226010620296,55.0,2.0,1999.0,0.0,0.19079798417819838,0.23578535451920443,,0.35117558779389696,0.8092020158218016
openml_1022_mfeat-pixel,real_openml,real_openml,9.0,2,240,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.8,0.0,2.046570960342666,0.0,9.0,1.4950297149235174,0.3216495203753775,0.7804878048780488,0.8523733854535999,,0.46899559358928117,0.17262141371091794,0.15880692041249037,0.17272936956689744,0.1589062368104971,1.0006253908692946,3.6360114442797826,12.177142789093772,0.9599979543408409,0.04139162422366819,0.0,,0.33625,,0.0,,1.9255108883641467,0.3222499829104422,2.6568471428962814,0.879682421875,0.03851442014865163,0.0354760738217935,,,,,,240.0,2.0,1600.0,0.0,0.7265403882296311,2.6568471428962814,,,0.273459611770369
openml_1121_badges2,real_openml,real_openml,2.5,2,10,59,235,0.0,0.0,,0.0,0.0,False,235,0.4297872340425532,0.0,0.4006031424671252,0.0,2.5074626865671643,1.4621140976643205,0.8621849164149188,0.31183321615259985,1.0,,0.8623156581075424,0.22409724152517335,0.2746108295725324,0.22505492204451166,0.2757843801262612,1.0042735042735038,1.1181081618611468,7.660036883170388,0.869504390927435,0.3120371386516505,0.0,,0.0,,0.0,,2.2118564521103483,0.9687154450812921,inf,0.8166591217745587,0.11257330366151466,0.26670047419103343,0.03404255319148936,0.0632941931728123,0.11301807741316526,0.0,0.0,10.0,2.0,235.0,0.0,1.0,inf,,0.09361702127659574,0.0
openml_1459_artificial-characters,real_openml,real_openml,2.36,10,7,2044,8174,0.0,0.0,,0.0,0.0,False,1996,0.22322864316568178,0.6453435726536142,0.6631953370668798,0.42798884818995814,2.3604166666666666,3.102565669003206,0.5355056278233273,0.006137768597490378,0.30063927802316653,0.21415766026431565,3.284565119662856,0.25621141671815567,0.16499171211409802,0.25782855829792056,0.1678752399353412,1.003363293293879,0.8085448783144509,14.253493244510986,0.8584502360898121,0.09016466508488186,0.08299843957809865,0.12253489028852438,0.7577422121055547,0.10453837564859803,0.46217633620287774,0.25527168437598297,6.1566914806790365,0.5346360887460927,1.326794088401626,0.9979628595869093,0.23043930798702558,0.09584076705188806,0.6142284569138277,,,0.36472945891783565,0.4814748404734459,7.0,10.0,1996.0,0.22411175293746619,0.9078688491313522,0.7576467310399106,,0.6072144288577155,0.33830591156109946
openml_1480_ilpd,real_openml,real_openml,2.491,2,10,117,466,0.0,0.0,,0.0,0.0,False,466,0.4291845493562232,0.0,0.21796708713569432,0.0,2.5037593984962405,2.5072117367084883,0.6361400824658031,0.3110952106892314,0.3511244004637437,,0.8627149855203994,0.17072868643088415,0.208002888233152,0.1710958448963267,0.20845020627236283,1.002150537634407,0.8471109018455402,16.67431188136155,0.9735579545855728,0.018073053359259655,1.1958027730699272e-05,,0.8862660944206009,,0.7381974248927039,,3.318187556519463,0.6247698879967383,0.14062587606972904,0.9894315607213248,0.05173916570942501,0.035674822596533526,0.49141630901287553,0.4442740573666814,0.13426200038895691,0.33905579399141633,0.4738975538067187,10.0,2.0,466.0,0.0,0.12328834460102346,0.14062587606972904,,0.6244635193133047,0.8767116553989766
openml_1498_sa-heart,real_openml,real_openml,1.8875,2,9,93,369,0.0,0.0,,0.0,0.0,False,369,0.3062330623306233,0.0,0.3718212092712974,0.0,1.8828125,2.586298390628725,0.6093579310531572,0.1714765325992077,0.47479166006620066,,0.9312538894440796,0.2010240305389505,0.17145053608239083,0.20157029149150205,0.17191643427826692,1.0027173913043486,0.7901163015585525,19.84244785968093,0.9472116085077071,0.04052084970548501,0.2460627514768993,,0.940379403794038,,0.8699186991869918,,3.4706198705218467,0.6129219661275632,0.2910340994700775,0.9875221245437387,0.046932409550958204,0.036945743378879965,0.5094850948509485,0.46738363558479074,0.09271287382236351,0.34959349593495936,0.47748901371492486,9.0,2.0,369.0,0.0,0.22542712046841865,0.2910340994700775,1.0380280450123587,0.7642276422764228,0.7745728795315814
openml_1508_user-knowledge,real_openml,real_openml,5.375,5,5,81,322,0.0,0.0,,0.0,0.0,False,322,0.572945596351868,1.0411776344898978,12.366443065593177,12.875663938088305,5.421052631578948,2.582116559840427,0.0024552063148020014,0.09128653741650561,0.355269963633551,0.41432679506872855,2.0477813097776982,0.12262175025253319,0.0722806574358232,0.12300374947450368,0.07250583082347371,1.0031152647975081,0.31512940467249695,5.532048125661633,0.7649685475942349,0.34937500188733595,0.08197008761414663,0.10537780033007572,0.2786131509117964,0.31152792718532296,0.08055490429526513,0.13316617245544357,4.259730932660616,0.49275245607730883,14.448821991424726,0.9850507310674742,0.37016693695750946,0.49345216055498287,0.3416149068322981,0.41414154960628463,0.11085782151790222,0.2204968944099379,0.4152269975469838,5.0,5.0,322.0,0.5437230902009992,1.0198670675765114,14.359539627720263,1.2459329913771922,0.6459627329192547,0.05967614177059299
openml_1524_vertebra-column,real_openml,real_openml,2.1,2,6,62,248,0.0,0.0,,0.0,0.0,False,248,0.3548387096774194,0.0,0.6806428519050464,0.0,2.1,2.584845272216036,5.7930388825927547e-05,0.22365988909426993,0.5742572284477028,,0.9071657675730821,0.4059958043711827,0.25911125249159334,0.40763951208118754,0.2601602859024904,1.0040485829959513,1.1730501810577325,6.231845536995446,0.8887356742809288,0.04313141130403197,0.004992577711074902,,0.6411290322580645,,0.532258064516129,,3.3464416796071816,0.10021802370746759,0.49202816310771913,0.9669614984391259,0.14556936018193625,0.10024144464094209,0.3629032258064516,0.4135733390395957,0.11924386946406362,0.21774193548387097,0.41354562229103187,6.0,2.0,248.0,0.0,0.3297713644244371,0.49202816310771913,,0.5201612903225806,0.6702286355755629
openml_1557_abalone,real_openml,real_openml,1.0937,3,8,836,3341,0.0,0.0,,0.0,0.0,False,1999,0.037126703390208154,0.6500413273208578,1.1222717534479292,0.7295230202259984,1.0935727788279772,3.326569945125253,0.7052184385583976,0.0010208204816145594,0.5068297095994027,0.26802039202458544,1.5839665058945394,0.6658018449999578,0.38274810008933596,0.6860720578505585,0.39162388814216054,1.0279533606343108,2.2250920275186634,4.543627745517663,0.6787205269324468,0.1400165287652902,0.04177445057399215,0.05105916205108959,0.8917372013113011,0.08814642164873243,0.8389778128536115,0.10803975376921446,4.561923713663141,0.6524631539438959,1.0533352980372026,0.9958886396675076,0.3486127373566506,0.06700653419233989,0.5702851425712856,0.46552579835536956,0.13916779705113883,0.4382191095547774,0.4962925914733755,8.0,3.0,1999.0,0.025446025825213454,0.585587639606242,0.9413765492501271,1.2748498569723306,0.7413706853426714,0.4632351911377027
openml_1590_adult,real_openml,real_openml,3.1792,2,14,9769,39073,0.0,0.0,,0.0,0.0,False,1999,0.5214598315972666,0.0,0.3446965460791493,0.0,3.1793774735265803,1.791077234811256,1.2013931271219658,0.42796266608967615,0.5179268771687159,,0.7935730699043289,0.06933722855637595,0.08902372142749772,0.06908995083356903,0.08836022967385289,1.0016244232742384,0.42730875776477606,13.87966336459107,0.9666349421304858,0.03403533744131869,0.02100513216466834,,0.9179589794897449,,0.8579289644822411,,2.527475065730406,1.183891120123668,0.36658368104770633,0.9899907432455598,0.05717523898517906,0.04936285729810395,0.32516258129064535,0.3730435878387363,0.17336797418770736,0.2336168084042021,0.42323705513867904,14.0,2.0,1999.0,0.0,0.2682482500937381,0.36658368104770633,,0.391695847923962,0.7317517499062619
