feature,importance
ssi_f3.q1,0.03591366
eq_num_attr,0.033062074
ssi_f3.min,0.03211974
attr_ent.mean,0.03131967
minority_frac,0.026409497
n_minority_classes,0.026129695
ssi_cor.max,0.021743895
cor.mean,0.021724142
eigenvalues.mean,0.020689568
ssi_cov.max,0.020007582
mut_inf.mean,0.018963888
ssi_mut_inf.min,0.018904664
f1.mean,0.01864774
joint_ent.mean,0.018587012
mut_inf.sd,0.018321233
lm_stump_vs_1nn,0.016468849
ssi_f4.max,0.016417082
IR,0.016147794
pIR_cv,0.015302374
ssi_attr_ent.q3,0.014900714
minority_nn_ratio,0.0148859145
can_cor.sd,0.014587236
lm_lin_discr,0.014506218
n2.sd,0.014377887
ssi_joint_ent.q3,0.01437446
ssi_cor.min,0.014293574
ssi_cor.median,0.013423238
class_ent,0.012536945
ssi_joint_ent.min,0.012399904
f4.mean,0.012385437
minority_size,0.012320418
f3.sd,0.012260829
lm_naive_bayes,0.011851946
ssi_eigenvalues.q1,0.011725684
ssi_f3.max,0.011693893
ssi_f1.max,0.0116147725
ssi_attr_ent.max,0.011522929
macro_IR,0.011140991
HDB,0.011122854
ssi_attr_ent.min,0.011065272
ssi_eigenvalues.min,0.010964086
ssi_f1.q3,0.010720887
inter_intra_ratio,0.010635661
ssi_mut_inf.max,0.010576051
f3.mean,0.010433871
f2.mean,0.01030088
f1.sd,0.010202742
lm_decision_stump,0.0100494055
t1,0.009678296
CV,0.009527246
ssi_cor.q1,0.009227386
f2.sd,0.009181018
minority_isolation,0.009103277
ssi_can_cor.min,0.008877197
ssi_eigenvalues.q3,0.008834768
f4.sd,0.008550575
HDB_mean_f1,0.008222993
ssi_mut_inf.q1,0.008031602
ssi_eigenvalues.median,0.008028723
class_imbalance_skew,0.007941435
cor.sd,0.0077866656
can_cor.mean,0.0076290397
ssi_joint_ent.max,0.007514893
lh_trace,0.0074870605
ssi_eigenvalues.max,0.0074695954
attr_ent.sd,0.007242272
ssi_attr_ent.q1,0.0071247155
lsc,0.0069993185
ssi_f2.max,0.006903702
eigenvalues.sd,0.006746237
n3.sd,0.0066973567
c2,0.006654894
ssi_f3.q3,0.006463326
n1,0.0060102493
n2.mean,0.005648047
ssi_f1.min,0.0044729877
p_trace,0.0038820577
w_lambda,0.0023082246
