feature,importance
c2,0.46162179384514207
n2.sd,0.44905901424478767
f1.sd,0.42755726671531896
f2.mean,0.39720055340847976
CV,0.3951998655600222
n2.mean,0.37910846078480054
HDB,0.368777983562984
f1.mean,0.3604956262895241
joint_ent.sd,0.3585612835046065
eq_num_attr,0.33917974149846836
n3.mean,0.3386356520350909
nr_inst,0.33842713395224916
IR,0.32142701616737307
HDB_std_f1,0.321330448818805
p_trace,0.3195355748145738
eigenvalues.sd,0.31705468750444693
cor.sd,0.3088849092993149
n3.sd,0.30660327268213317
nr_attr,0.30029177722392303
can_cor.mean,0.29428733248182454
joint_ent.mean,0.2913168996284145
pIR_cv,0.28869819915187395
attr_ent.sd,0.2858769258010988
lh_trace,0.28283047883601303
lsc,0.2774074803324342
cor.mean,0.2766964533327413
roy_root,0.2689567055520649
mut_inf.mean,0.2602271059030008
eigenvalues.mean,0.2594626065439622
nr_class,0.25849322694223303
t1,0.2572124240767343
attr_ent.mean,0.2568425293605515
f3.mean,0.2505581470868452
class_ent,0.24685163683181638
n1,0.24635136162092544
f4.mean,0.2456891723511435
cov.mean,0.24274840368178088
mut_inf.sd,0.2205133572167178
w_lambda,0.206473272822072
cov.sd,0.205464157232008
HDB_mean_f1,0.18927098624699507
