feature,importance
class_ent,0.15266517372697166
can_cor.mean,0.14603746380521215
c2,0.0721446221927073
CV,0.06930561140372822
t1,0.05572596009087081
lsc,0.04720314741342899
nr_inst,0.041967602393685036
n2.sd,0.03409722435096407
roy_root,0.03332198649999987
nr_attr,0.033176779255079614
cov.sd,0.031870558914573764
IR,0.021982562941334906
eigenvalues.sd,0.016912022015105978
f2.mean,0.01590198236089529
cov.mean,0.014900877807540002
w_lambda,0.013880280756810671
attr_ent.sd,0.01355995938300179
eq_num_attr,0.011904526250121245
cor.mean,0.011862996371264395
mut_inf.mean,0.011805056202665936
cor.sd,0.011058701515492823
lh_trace,0.010846066445917195
mut_inf.sd,0.010763236454580717
f3.mean,0.010725761998986226
p_trace,0.010502400255986517
f1.sd,0.010060900057626462
n2.mean,0.009962326425726838
n3.sd,0.009502944198321829
joint_ent.sd,0.008990720975778844
f1.mean,0.007658324387903502
eigenvalues.mean,0.007424267615447116
n1,0.007264210270230991
f4.mean,0.006882401800171547
n3.mean,0.006154002259556021
joint_ent.mean,0.005519429521385364
attr_ent.mean,0.005110212292826283
HDB_mean_f1,0.004561169361387757
HDB,0.0030420101713224622
nr_class,0.0018542469638322598
pIR_cv,0.0012259387078150802
HDB_std_f1,0.0006643341837425106
