cluster,representative,cluster_size,dist_to_centroid,cluster_mean_IR,cluster_mean_CV,cluster_mean_nr_class,cluster_mean_nr_attr,cluster_mean_nr_inst
0,openml_46264_mabbob_ela_as_2d_classify,2,0.7974273377969596,48.25,1.008900422149953,4.5,45.0,896.0
1,openml_46361_Risk_Level_Classification,1,0.0,9.77578906851424,1.0070538998320442,3.0,18.0,1999.0
2,pmlb_ann_thyroid,2,0.37681292870517474,38.90022353180248,1.2562183175258541,3.0,21.0,1999.0
3,openml_11_balance-scale,2,3.783727373185991e-15,5.923076923076923,0.5416493330559911,3.0,4.0,500.0
4,openml_40975_car,8,0.29374502621634063,18.615384615384617,1.0825055912446406,4.0,6.0,1382.0
5,openml_44625_mfeat-factors_seed_2_nrow,5,0.2081819010983164,1.0,0.0,10.0,100.0,1600.0
6,openml_1565_heart-h,2,0.9233362776357318,54.25,1.0961458798527386,5.5,15.5,207.0
7,openml_44580_Diabetes130US_seed_2_nrow,6,0.13524566542152353,4.845453880228141,0.5253235475941493,3.0,49.0,1666.5
8,openml_44782_KDDCup99_seed_4_nrows_200,3,0.3007082707180779,913.0,1.5201594296353014,8.0,41.0,1600.0
9,openml_185_baseball,2,0.0,21.130434782608692,1.216363541500833,3.0,16.0,1072.0
10,openml_44637_segment_seed_4_nrows_2000,5,0.08615191952145797,1.0043859649122806,0.002165063509461,7.0,16.0,1600.0
11,openml_44699_Fashion-MNIST_seed_1_nrow,7,0.47787737127179514,1.1706208985360929,0.039316267640986946,10.0,114.71428571428571,1656.4285714285713
12,openml_188_eucalyptus,6,4.1725779438208954e-16,2.035714285714285,0.2927245743546596,5.0,19.0,588.0
13,openml_46720_OSMI_Mental_Health_in_Tec,2,1.0041670961090696,2.507153299916458,0.41166086157900217,3.0,7.5,764.0
14,openml_1536_volcanoes-b6,7,0.7791182472258245,283.1518080916577,1.891231357243754,5.0,3.0,1997.4285714285713
15,openml_44640_dna_seed_2_nrows_2000_ncl,4,0.4421243539320764,2.1616115196078427,0.3938397159668441,3.0,140.0,2074.0
16,openml_44522_fabert_seed_4_nrows_2000_,6,0.5413124117239393,4.3358343337334935,0.429923962144587,6.333333333333333,90.33333333333333,1600.0
17,openml_40685_shuttle,2,2.756095116946746e-15,4558.625,1.8738837613253072,7.0,9.0,2000.0
18,openml_1530_volcanoes-a4,5,0.9705471620624551,69.80767807585569,1.780466430997467,5.0,3.0,1664.8
19,openml_181_yeast,6,6.427378727530082e-16,92.5,1.1092869294588157,10.0,8.0,1187.0
20,pmlb_segmentation,2,0.8920392649523107,1.0,0.0,7.0,19.0,1848.0
