dataset_name,group,gen_base_type,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_n_samples_train,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_spatial_distortion,gen_subsampled_to,CV,HDB,HDB_mean_f1,HDB_std_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,joint_ent.sd,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,nr_attr,nr_class,nr_inst,pIR_cv,p_trace,roy_root,sd_ratio,t1,w_lambda,overlap_ratio,inter_intra_ratio,boundary_density,minority_size,minority_frac,minority_nn_ratio,minority_isolation,macro_IR,IR_variance,n_minority_classes,class_imbalance_skew,lm_decision_stump,lm_1nn,lm_naive_bayes,lm_lin_discr,lm_stump_vs_1nn,ssi_f1.max,ssi_f1.median,ssi_f1.min,ssi_f2.max,ssi_f2.median,ssi_f2.min,ssi_f3.max,ssi_f3.median,ssi_f3.min,ssi_f4.max,ssi_f4.median,ssi_f4.min,ssi_f1.q1,ssi_f1.q3,ssi_f2.q1,ssi_f2.q3,ssi_f3.q1,ssi_f3.q3,ssi_f4.q1,ssi_f4.q3,ssi_attr_ent.max,ssi_attr_ent.median,ssi_attr_ent.min,ssi_joint_ent.max,ssi_joint_ent.median,ssi_joint_ent.min,ssi_mut_inf.max,ssi_mut_inf.median,ssi_mut_inf.min,ssi_attr_ent.q1,ssi_attr_ent.q3,ssi_joint_ent.q1,ssi_joint_ent.q3,ssi_mut_inf.q1,ssi_mut_inf.q3,ssi_can_cor.max,ssi_can_cor.median,ssi_can_cor.min,ssi_cor.max,ssi_cor.median,ssi_cor.min,ssi_cov.max,ssi_cov.median,ssi_cov.min,ssi_eigenvalues.max,ssi_eigenvalues.median,ssi_eigenvalues.min,ssi_can_cor.q1,ssi_can_cor.q3,ssi_cor.q1,ssi_cor.q3,ssi_cov.q1,ssi_cov.q3,ssi_eigenvalues.q1,ssi_eigenvalues.q3,cluster,dist_to_centroid,is_representative
all5_sources_c3_moderate,all5_hybrid,moons|circles|gaussian_quantiles|s_curve|swiss_roll,12.1875,3,13,492,1965,0.08,0.1,,0.02,0.5,False,1965,0.8015087844837432,0.4347617778590402,0.2399468287723713,0.1043197098687148,12.1875,3.584957451479156,0.0,0.4373259896853484,0.2971618243240059,0.0368932097399483,1.099769618073201,0.0336754722517526,0.0265175258180586,0.0342934626096187,0.0270328285600589,1.0166498336862797,0.1576171887437047,28.87719186319615,0.9863194458088536,0.0189759485795789,0.1039155306736118,0.1193353659042889,0.9887870389688116,0.0083488189718881,0.5393748932533867,0.3495009077190085,4.646642700986213,0.0278296009501329,0.1959912783492529,0.9975308354214012,0.0380843685661434,0.0278296009501329,0.4748091603053435,0.4769319112068819,0.0546389506272713,0.327735368956743,0.4695072721597881,13.0,3.0,1965.0,0.6372669571666303,0.1779714085960586,0.1166822214696139,1.123544768404118,0.9501272264631044,0.8297066611182433,0.7089058524173028,0.247630120694136,0.7089058524173028,112,0.0569974554707379,0.3482142857142857,2.886497445749284,6.447258001561281,0.8015087844825195,2,0.4449650391074565,0.6829271877087509,0.6595577822311288,0.730313961255845,0.7142912491649968,0.0233694054776221,0.9996468245572158,0.9958364460912776,0.945777479408931,0.241665946663711,0.0381301004094858,0.0319505449476387,0.996614759647935,0.9897463572584996,0.98,0.94225580140313,0.3583333333333333,0.3175355450236967,0.9812085614516948,0.999148127799325,0.0350403226785623,0.1398980235365984,0.9848731786292498,0.9931805584532174,0.337934439178515,0.6502945673682317,3.584957451479156,3.584957451479156,3.584957451479156,4.678476609728117,4.655390620647827,4.580233625928101,0.1044934436242552,0.0293364489045293,0.0062504598242396,3.584957451479156,3.584957451479156,4.636168352098078,4.6614851216127775,0.0232419479395789,0.048558717454278,0.323249263110861,0.2971618243240059,0.2710743855371509,0.1098505360577255,0.0265604465840006,0.0006557545892435,0.110648465576656,0.0268925986242066,0.0006671028647004,1.3521762630711889,0.9800091128824544,0.8108611754374772,0.2841181049305784,0.3102055437174335,0.0127285134861106,0.0494213601014212,0.0128193243711663,0.0508057784979554,0.8928418483464007,1.0805421897873813,5,4.417672560804644,False
all5_sources_c3_severe,all5_hybrid,moons|circles|gaussian_quantiles|s_curve|swiss_roll,13.085714285714284,3,13,463,1848,0.08,0.1,,0.02,0.5,False,1848,0.8875254029417554,0.5051128987075943,0.3241074217751644,0.1637108393054981,13.085714285714284,3.584962500721156,9.244454088746557e-16,0.532487161936952,0.2837534270098848,0.0072598679788433,1.017095753847173,0.0340513543270866,0.028579183664768,0.0346573977618656,0.0291039986776171,1.0170012219798736,0.1646444362563317,29.68850008700135,0.9875799895394566,0.0198577870012647,0.0298130838828839,0.0246957034458484,0.988924433021926,0.0089173968959473,0.4998627917016236,0.3596107997169215,4.567799341155171,0.0281426025197025,0.1752172066622677,0.9967137164783268,0.03425891341316,0.0281426025197025,0.4264069264069264,0.4705957866916727,0.0577963320492117,0.2873376623376623,0.452642904473937,13.0,3.0,1848.0,0.6588656173915238,0.1610847203627783,0.0910546864229836,1.0751774650867167,0.9204545454545454,0.8453938641184804,0.6520562770562771,0.2769340867068048,0.6520562770562771,105,0.0568181818181818,0.3085714285714286,2.537674475241809,6.774525745257452,0.8875254029403146,2,0.5854671677466534,0.7438289913159654,0.6857915831663327,0.7438263193052772,0.7418236472945892,0.0580374081496326,0.9998825486706931,0.9979737897871256,0.9465424413269043,0.057807276206615,0.0205193552158842,0.0111126202261525,0.9959839357429718,0.9918864097363084,0.978902953586498,0.91508892713712,0.2954699121027721,0.2890295358649789,0.9890050407736324,0.9992781664001636,0.0158159877210184,0.0391633157112496,0.9853946816614032,0.99393517273964,0.2922497239838755,0.605279419619946,3.584962500721157,3.584962500721157,3.584962500721157,4.594964079244243,4.576844569338417,4.499731261456248,0.102326993112082,0.0252136852299136,0.0070941753240871,3.584962500721157,3.584962500721157,4.559350846914612,4.58455323627077,0.0175050182975606,0.0427074076537188,0.2888869288882441,0.2837534270098848,0.2786199251315256,0.1389946841524144,0.0263419934955405,0.000942526116158,0.1443810049654043,0.0268497098998168,0.0009474053565574,1.3188335897685892,1.0118470449029506,0.7719647625120801,0.2811866760707052,0.2863201779490644,0.0126964402329074,0.0490478091592826,0.0127850783295447,0.0508190946141399,0.8948773614755645,1.097114139666948,34,4.2590533684480025,False
all5_sources_c4_power_law,all5_hybrid,moons|circles|gaussian_quantiles|s_curve|swiss_roll,14.772727272727272,4,13,528,2109,0.08,0.1,,0.02,0.5,False,2109,0.9340774248936562,0.249575859817892,0.363322291616102,0.0906764733210955,14.772727272727272,3.584958117757915,9.244454088746557e-16,0.3689732331960383,0.2723306767613512,0.0531847186167405,1.3627223567068456,0.0323353238418436,0.0302654302978802,0.0337580594624517,0.0319464948364165,1.040584464348936,0.1685679197620195,28.325324067339203,0.9824009667304096,0.0238618446612379,0.075237674938321,0.0409089319200302,0.9845203685432624,0.0198454379123007,0.5999072394412531,0.2204966028620162,4.899570791642875,0.0257582472962222,0.2490660970546226,0.9982508524845876,0.0481096828218868,0.0257582472962222,,,,,,13.0,4.0,2109.0,0.6887772916183814,0.2281492211045703,0.1183677619504524,1.1772035526113054,,0.7879840178092999,0.7842842842842843,0.269924967039817,0.7842842842842843,88,0.0417259364627785,0.2636363636363636,2.442391781203396,7.050710639849984,0.9340774248918846,2,0.6386137371917604,0.6078824315297261,0.5851703406813628,0.663994655978624,0.635938543754175,0.0227120908483633,0.9999037697677854,0.996138163467174,0.9360279842177468,0.1453061656500361,0.0700007784866532,0.0280950932404997,0.9961325966850828,0.9909567901583808,0.9414893617021276,0.950828729281768,0.491328237645369,0.3404255319148936,0.9726484606269749,0.9988888746488052,0.0512215994400647,0.0872962151278248,0.9870914116992976,0.9950820604554206,0.4222241497478891,0.6499380901646425,3.584955995579937,3.584955995579937,3.584955995579937,4.927177477200646,4.906559461266755,4.850191506609988,0.0965467407572377,0.0401787861004709,0.0195607701665805,3.584955995579937,3.584955995579937,4.880265082353069,4.917604035661271,0.0291342117059549,0.0664731650141572,0.322159444122534,0.2714929569241894,0.2194917454136448,0.1436409907338912,0.0255594197611202,0.0003524640244836,0.1554032635047475,0.026941663512034,0.0003668534439155,1.425132285667594,1.0207623384343976,0.8014623813944498,0.2454923511689171,0.2968262005233617,0.0101708581447009,0.0447785940228072,0.0107775401063102,0.0473485810371871,0.951300038386262,1.1492278084558056,15,4.384794158480773,False
all5_sources_c5_long_tail,all5_hybrid,moons|circles|gaussian_quantiles|s_curve|swiss_roll,15.842105263157896,5,13,521,2080,0.08,0.1,,0.02,0.5,False,2080,1.0621486105333793,0.4651839531310957,0.2754694477499002,0.1281439666711384,15.842105263157896,3.584957168720791,4.6222270443732795e-16,0.3494033363596974,0.241781229186234,0.0947807370045077,1.5618261764879144,0.0380461964297259,0.0275349991700271,0.0383545881049039,0.0277198646794844,1.0086658301023963,0.1710700198658822,27.481496314734347,0.9809146962791186,0.0204768181264975,0.0301742233196414,0.0191047863402766,0.9744164223669974,0.0218932893202638,0.5396699332782583,0.1835550037483702,5.089951426065695,0.0310058716638235,0.2873442509607234,0.9985826553254438,0.0568319191430101,0.0310058716638235,,,,,,13.0,5.0,2080.0,0.7702500500150522,0.2607828154685778,0.1445903534571988,1.2121150564027556,,0.7606692357036476,0.8743743743743744,0.3077794370292586,0.8743743743743744,76,0.0365384615384615,0.2921052631578947,2.979486406236536,6.673278485743312,1.062148610530826,3,0.9086572676355128,0.6101496325985304,0.5467374749498998,0.6568724114896459,0.6181563126252505,0.0634121576486306,0.9986201746682208,0.9924250169771665,0.9473235039356204,0.0452492798833704,0.008290712263455,0.002327923519744,0.9971247843588268,0.982790036871244,0.9390243902439024,0.9436457734330076,0.4520049971327926,0.3841463414634146,0.9570742272741516,0.9962458441042548,0.004908371004036,0.021220437102117,0.9477726574500768,0.992450030003429,0.4180587557603686,0.4862808123418367,3.584955995579937,3.584955995579937,3.584955995579937,5.126849411432649,5.095615584437891,5.030358242489249,0.1157191159092585,0.0504617739606159,0.0192279469658585,3.584955995579937,3.584955995579937,5.06683542390496,5.110601807072385,0.0354755513261224,0.0792419344935471,0.3540833545773077,0.2499791738612295,0.1386604235502246,0.1325954795651549,0.0324844951677537,0.0001332530821726,0.1289287579899866,0.0324890812904918,0.0001303378730833,1.3273576757316612,0.9674248185984112,0.7353420270415779,0.1947028559505391,0.3034518493731882,0.0176959584524641,0.0542180945771732,0.0171616956460518,0.0539926012226266,0.87353392666184,1.1157691540929884,20,4.675889991062035,False
circles_distorted_imbalanced,circles,circles,2.5,2,2,420,1680,0.1,0.1,,0.0,0.5,True,1680,0.4285714285714285,0.0,0.0098190588310823,0.0,2.5,3.4594254786267884,0.0,0.3103448275862068,0.0781889488909818,,0.8631205685666311,0.0846442417845631,,0.0835718685098683,,0.98752546497465,0.121397333690717,95.49473767220375,0.9971907848962164,0.0012533789505018,0.7080719936646453,,0.9648809523809524,,0.963095238095238,,4.313507637438011,0.0070193435608976,0.0061511166524759,0.9981420068027212,0.0090384097554085,0.0070193435608976,0.5803571428571429,0.4564158226416838,0.2029534491203227,0.4053571428571428,0.4911072111681899,2.0,2.0,1680.0,0.0,0.0061135117286765,0.0061511166524759,,0.5970238095238095,0.9938864882713234,0.8065476190476191,0.1360099577911038,0.8065476190476191,480,0.2857142857142857,0.4416666666666666,0.0643952454655309,2.5,0.4285714285709184,1,0.0,0.7144769539078156,0.6077314629258517,0.7144769539078156,0.7144769539078156,0.1067454909819639,0.9980770576515126,0.9971907848962164,0.99630451214092,0.7080719936646453,0.7080719936646453,0.7080719936646453,0.9648809523809524,0.9648809523809524,0.9648809523809524,0.963095238095238,0.963095238095238,0.963095238095238,0.996747648518568,0.9976339212738644,0.7080719936646453,0.7080719936646453,0.9648809523809524,0.9648809523809524,0.963095238095238,0.963095238095238,3.4594254786267884,3.4594254786267884,3.4594254786267884,4.3184710628694,4.313507637438011,4.308544212006622,0.0140018351867974,0.0090384097554085,0.0040749843240197,3.4594254786267884,3.4594254786267884,4.311025924722317,4.315989350153705,0.0065566970397141,0.011520122471103,0.0781889488909818,0.0781889488909818,0.0781889488909818,0.0846442417845631,0.0846442417845631,0.0846442417845631,0.0835718685098683,0.0835718685098683,0.0835718685098683,1.073366342845322,0.98752546497465,0.9016845871039776,0.0781889488909818,0.0781889488909818,0.0846442417845631,0.0846442417845631,0.0835718685098683,0.0835718685098683,0.9446050260393136,1.0304459039099858,30,7.778746489378164,False
circles_factor3,circles,circles,1.6666666666666667,2,2,480,1920,0.05,0.1,,0.0,0.3,False,1920,0.25,0.0,7.766102713825779e-05,0.0,1.6666666666666667,3.584962500721157,0.0,0.1176470588235294,0.0071129627773789,,0.954434002924965,0.0047249954048862,,0.0047239234106499,,0.9997903717439298,0.0106588954693952,2.099767366397015,0.9999748200452164,7.079612947796749e-06,0.1336768700316513,,0.5401041666666667,,0.375,,4.084853768008376,0.0095817133793682,5.059679937896234e-05,0.8348272026909722,0.4545427356377463,0.0095817133793682,0.0010416666666666,0.0273447178602694,0.0177953565794973,0.0,0.0,2.0,2.0,1920.0,0.0,5.059423947237802e-05,5.059679937896234e-05,,0.0072916666666666,0.9999494057605276,0.0,0.0129520697441929,0.0,720,0.375,1.0,0.8474121003786081,1.6666666666666667,0.2499999999997396,1,0.0,0.6250835003340013,1.0,0.9993319973279892,0.6250835003340013,-0.3749164996659987,0.99997982608754,0.9999748200452164,0.9999698140028928,0.1336768700316513,0.1336768700316513,0.1336768700316513,0.5401041666666667,0.5401041666666667,0.5401041666666667,0.375,0.375,0.375,0.9999723170240546,0.9999773230663782,0.1336768700316513,0.1336768700316513,0.5401041666666667,0.5401041666666667,0.375,0.375,3.584962500721157,3.584962500721157,3.584962500721157,4.091629062514313,4.084853768008376,4.078078473502439,0.4613180301436834,0.4545427356377463,0.4477674411318091,3.584962500721157,3.584962500721157,4.081466120755407,4.088241415261344,0.4511550883847777,0.4579303828907148,0.0071129627773789,0.0071129627773789,0.0071129627773789,0.0047249954048862,0.0047249954048862,0.0047249954048862,0.0047239234106499,0.0047239234106499,0.0047239234106499,1.007327349010298,0.9997903717439298,0.992253394477562,0.0071129627773789,0.0071129627773789,0.0047249954048862,0.0047249954048862,0.0047239234106499,0.0047239234106499,0.996021883110746,1.003558860377114,18,5.2618778412865534,False
circles_factor5,circles,circles,1.6666666666666667,2,2,480,1920,0.05,0.1,,0.0,0.5,False,1920,0.25,0.0,0.0004220292420611,0.0,1.6666666666666667,3.584962500721157,0.0,0.1176470588235294,0.0131941238942163,,0.954434002924965,0.0117278309675234,,0.0117112384329815,,0.9986134899152967,0.0196801202396859,3.018889909765365,0.999913164096125,0.0001205422076883,0.3014734834515168,,0.6338541666666667,,0.375,,4.223242542603155,0.0015347073527817,0.0001741152161668,0.9212879774305556,0.3161539610429669,0.0015347073527817,0.0010416666666666,0.0433617382933144,0.0285121593361102,0.0,0.0,2.0,2.0,1920.0,0.0,0.0001740849053359,0.0001741152161668,,0.0130208333333333,0.999825915094664,0.0,0.021828228807288,0.0,720,0.375,1.0,0.4072098838620041,1.6666666666666667,0.2499999999997396,1,0.0,0.6250835003340013,1.0,0.9052705410821644,0.6250835003340013,-0.3749164996659987,0.9999984003086008,0.999913164096125,0.9998279278836494,0.3014734834515168,0.3014734834515168,0.3014734834515168,0.6338541666666667,0.6338541666666667,0.6338541666666667,0.375,0.375,0.375,0.9998705459898872,0.9999557822023628,0.3014734834515168,0.3014734834515168,0.6338541666666667,0.6338541666666667,0.375,0.375,3.584962500721157,3.584962500721157,3.584962500721157,4.224327744579444,4.223242542603155,4.222157340626866,0.3172391630192557,0.3161539610429669,0.3150687590666781,3.584962500721157,3.584962500721157,4.22269994161501,4.2237851435913,0.3156113600548225,0.3166965620311113,0.0131941238942163,0.0131941238942163,0.0131941238942163,0.0117278309675234,0.0117278309675234,0.0117278309675234,0.0117112384329815,0.0117112384329815,0.0117112384329815,1.0125294363913453,0.9986134899152967,0.9846975434392482,0.0131941238942163,0.0131941238942163,0.0117278309675234,0.0117278309675234,0.0117112384329815,0.0117112384329815,0.9916555166772724,1.005571463153321,18,2.5512894820703895,False
circles_factor7,circles,circles,1.6666666666666667,2,2,480,1920,0.05,0.1,,0.0,0.7,False,1920,0.25,0.0,0.0002355825207402,0.0,1.6666666666666667,3.584962500721157,0.0,0.1176470588235294,0.0117902585194475,,0.954434002924965,0.0016847951558485,,0.001684123816011,,0.9996268096447244,0.0103320352142142,4.9076840374492905,0.9999303910033156,4.534220832902677e-05,0.5521741505348146,,0.7505208333333333,,0.5333333333333333,,4.344919027989189,0.0134245833544604,0.0001390295224765,0.9667399088541668,0.1944774756569334,0.0134245833544604,0.0046875,0.0862115576858983,0.0635467888285653,0.0026041666666666,0.050977823534065,2.0,2.0,1920.0,0.0,0.0001390101959554,0.0001390295224765,,0.0286458333333333,0.9998609898040446,0.0052083333333333,0.0182576020493487,0.0052083333333333,720,0.375,0.9977777777777778,0.169342768666318,1.6666666666666667,0.2499999999997396,1,0.0,0.6250835003340013,0.9966639946559788,0.625750167000668,0.6250835003340013,-0.3715804943219774,0.9999624527862988,0.9999303910033156,0.999898329220332,0.5521741505348146,0.5521741505348146,0.5521741505348146,0.7505208333333333,0.7505208333333333,0.7505208333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9999143601118238,0.9999464218948072,0.5521741505348146,0.5521741505348146,0.7505208333333333,0.7505208333333333,0.5333333333333333,0.5333333333333333,3.584962500721157,3.584962500721157,3.584962500721157,4.354411641913732,4.344919027989189,4.335426414064646,0.2039700895814764,0.1944774756569334,0.1849848617323903,3.584962500721157,3.584962500721157,4.340172721026917,4.34966533495146,0.1897311686946619,0.1992237826192049,0.0117902585194475,0.0117902585194475,0.0117902585194475,0.0016847951558485,0.0016847951558485,0.0016847951558485,0.001684123816011,0.001684123816011,0.001684123816011,1.006932661808153,0.9996268096447244,0.9923209574812952,0.0117902585194475,0.0117902585194475,0.0016847951558485,0.0016847951558485,0.001684123816011,0.001684123816011,0.9959738835630096,1.0032797357264387,18,5.582340416321202,False
circles_gaussian_s_curve_c3_moderate,triple_hybrid,circles|gaussian_quantiles|s_curve,5.595833333333333,3,8,516,2063,0.08,0.05,,0.0,0.5,False,2063,0.68875785580323,0.6740948914655612,1.2734989794632343,0.8584591563427719,5.595833333333333,3.5849606333019683,0.0,0.3478687967836824,0.2568470565391447,0.2633184014689673,1.2536684987904168,0.0190043499297282,0.0219429014800647,0.0190204649288747,0.0219497273367941,1.0005186844419425,0.081828416107466,17.25454731081725,0.974834637938382,0.067063395021459,0.2231013639213317,0.1555132413035638,0.6225599762172089,0.3154862986591933,0.4792029622529752,0.4153060173771031,4.765971850727231,0.0924351508355753,0.2492399056216805,0.9975166642426202,0.0726572813651543,0.0924351508355753,,,,,,8.0,3.0,2063.0,0.4450247277275176,0.2012774014578174,0.2442230400393646,1.1584419203733287,,0.7997024212697414,0.7297297297297297,0.2575458631206145,0.7297297297297297,240,0.116335433834222,0.5041666666666667,1.2171409501438026,3.4645833333333336,0.6887578558022285,2,0.5733901034435928,0.6511008684034736,0.6517568470273881,0.7164809619238476,0.6511102204408817,-0.0006559786239145,0.9995933466479956,0.9986726053617792,0.8109328828118397,0.328433040189258,0.1484778503863036,0.1057059474141534,0.9835787089467724,0.4806312769010043,0.4044357469015003,0.9456398640996604,0.2863666014350945,0.1951219512195122,0.997667449188271,0.99933918755347,0.1270918989002285,0.2384554452877808,0.4425335119012523,0.7321049929238883,0.2407442763273033,0.6160032327673775,3.584955995579937,3.584955995579937,3.584955995579937,4.830568892477971,4.7819863310934005,4.544501881710235,0.2936692418536584,0.0561847924704927,0.0076022310859222,3.584955995579937,3.584955995579937,4.775523471702843,4.813396186951488,0.0247749366124048,0.0626476518610505,0.4402342544491153,0.2532271304603233,0.0662200064715314,0.0998477308355192,0.009312562196197,0.0007910991116222,0.0995037068502719,0.0093995673301274,0.0007819370064026,1.1327200566364013,0.9950100538179996,0.8603779164054922,0.1597235684659274,0.3467306924547193,0.0049824980183002,0.0292171241615799,0.0049898707172539,0.0292528822269321,0.9515246734994728,1.0561242440716931,5,3.1264650609276603,False
circles_gaussian_s_curve_c3_severe,triple_hybrid,circles|gaussian_quantiles|s_curve,11.266666666666667,3,8,458,1832,0.08,0.05,,0.0,0.5,False,1832,0.8732751048030567,0.7789763327300583,1.5080115604569029,1.1747053150792508,11.266666666666667,3.5849556179935016,0.0,0.5209696099348684,0.2000873596694136,0.1971814788867605,1.0423244300154928,0.0173921965822277,0.0182804281962362,0.0174358048881075,0.0183242092584776,1.002001512227996,0.071417274867428,17.333772810055912,0.9847810232060225,0.0384297811423456,0.2532821139595936,0.2064782922171349,0.5641317045916294,0.3624706994547659,0.4387583807395367,0.4506276819708874,4.567147470904326,0.0668045772940937,0.1339826205854461,0.99661762742892,0.0601325771046684,0.0668045772940937,0.3897379912663755,0.4450418254527246,0.0828673769675906,0.2396288209606986,0.4269734901977535,8.0,3.0,1832.0,0.6211711327906395,0.1189504386149246,0.1302895176225262,1.1431333412154003,0.75,0.8814737023814281,0.644650655021834,0.2595203228231349,0.644650655021834,120,0.0655021834061135,0.4116666666666667,1.2428653707276551,6.007407407407407,0.8732751048016267,2,0.6012163558882205,0.738317969271877,0.7236312625250502,0.778374081496326,0.738317969271877,0.0146867067468268,0.9998978354116324,0.9985689629771168,0.8897298539268242,0.4915168371736964,0.1423162950426973,0.126013209662387,0.9824766355140186,0.3661684782608695,0.34375,0.9468457943925234,0.281929347826087,0.0875,0.9965064675584956,0.9992083239014654,0.1341647523525422,0.3169165661081969,0.3549592391304348,0.6743225568874441,0.1847146739130434,0.6143875711093052,3.5849556179935016,3.5849556179935016,3.5849556179935016,4.621668243885953,4.5817578403145625,4.411181914066678,0.2160981339423164,0.0455222076944328,0.0056118041230419,3.5849556179935016,3.5849556179935016,4.565178277232384,4.602558754025395,0.0247212939835992,0.0621017707766105,0.3395157205146341,0.2000873596694136,0.0606589988241932,0.0867609369733506,0.010961489118215,0.0020849829149795,0.0868410101000579,0.010958417138843,0.0020789151142431,1.1152154774515064,1.0006773301982177,0.8882583796167101,0.1303731792468035,0.2698015400920239,0.0045682090427368,0.0242521833460364,0.0046026084699889,0.0241380469296484,0.9619471660964608,1.0408273203134253,5,3.949178169394026,False
