dataset_name,group,gen_base_type,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_n_samples_train,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_spatial_distortion,gen_subsampled_to,CV,HDB,HDB_mean_f1,HDB_std_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,joint_ent.sd,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,nr_attr,nr_class,nr_inst,pIR_cv,p_trace,roy_root,sd_ratio,t1,w_lambda,cluster,dist_to_centroid,is_representative
kaggle_fedesoriano_stellar-classification-dataset-sd,real_kaggle_multiclass,real_kaggle,3.1351,3,17,20000,80000,0.0,0.0,,0.0,0.0,False,1998,0.5548496370076311,0.2615292743638281,2.635700664211066,0.6893128821513799,3.1350781198496933,3.313456665973775,0.8892454567669041,0.2408175551954419,0.68032074839588,0.2096145575236036,1.3782242084102587,,,0.1291066877542095,0.2241742709479984,0.7545479440534706,1.1476422084012856,9.9413685278022,,,,,0.3899090966349598,0.4089620759103692,0.2631323497201849,0.3908057203179294,4.553045614605072,0.8754322217017515,2.584540418753172,0.9963461960458956,0.1386352597789623,0.2339583453092768,0.3768768768768769,0.4160713878334882,0.1139347559027209,0.2222222222222222,0.4158437876778876,17.0,3.0,1998.0,0.3693602804729398,0.9696109041216764,2.1895847525796786,,0.6391391391391391,0.2247529745104858,121,0.43654521065504936,True
kaggle_fedesoriano_stellar-classification-dataset-sdss17,real_kaggle_multiclass,real_kaggle,3.1351,3,17,20000,80000,0.0,0.0,,0.0,0.0,False,1998,0.5548496370076311,0.2615292743638281,2.635700664211066,0.6893128821513799,3.1350781198496933,3.313456665973775,0.8892454567669041,0.2408175551954419,0.68032074839588,0.2096145575236036,1.3782242084102587,,,0.1291066877542095,0.2241742709479984,0.7545479440534706,1.1476422084012856,9.9413685278022,,,,,0.3899090966349598,0.4089620759103692,0.2631323497201849,0.3908057203179294,4.553045614605072,0.8754322217017515,2.584540418753172,0.9963461960458956,0.1386352597789623,0.2339583453092768,0.3768768768768769,0.4160713878334882,0.1139347559027209,0.2222222222222222,0.4158437876778876,17.0,3.0,1998.0,0.3693602804729398,0.9696109041216764,2.1895847525796786,,0.6391391391391391,0.2247529745104858,121,0.4365452106550555,False
kaggle_uciml_glass,real_kaggle_multiclass,real_kaggle,8.4444,6,9,43,171,0.0,0.0,,0.0,0.0,False,171,0.7657246611507086,0.7010892446851781,3.874047790435896,2.7160532392709853,8.714285714285714,2.020236787207317,0.6116525388703461,0.1372331877058992,0.486389064294164,0.2857533252059148,2.1710541960089595,0.2290046708149818,0.1837347297958715,0.2303517571138935,0.1848155223240825,1.0058823529411764,0.8811521942056627,6.068056616138217,0.7419480748914038,0.2316904764316221,0.001884163656849,0.0058103060688155,0.2397031787482429,0.2752893252131368,0.0534228734228734,0.149205713058694,3.833506879779442,0.5544149637204395,5.559608043452918,0.9684005334974864,0.3577841034368338,0.1487793387899497,0.5263157894736842,0.3972742805979277,0.1545564107771633,0.2923976608187134,0.4561998849773195,9.0,6.0,171.0,0.6404213726292659,1.509491460789712,4.600887969985146,,0.5964912280701754,0.0797571683933483,51,0.7268343706752691,True
kaggle_uciml_iris,real_kaggle_multiclass,real_kaggle,1.0,3,5,30,120,0.0,0.0,,0.0,0.0,False,120,0.0,0.6029329369327482,29.720879306413,17.91969704843933,1.0,1.985218317370395,0.0152549431257306,0.0,0.7823764372179505,0.2921811860979026,1.584962500721156,0.6379496268779106,0.3105636633284482,0.6433105481121794,0.3131734420118808,1.008403361344539,1.5844846253842364,1.7550309546110872,0.2470995249348619,0.2480499490154999,0.0,0.0,0.0,0.0,0.0,0.0,2.6670842108454518,0.3486396994729404,45.1182651630314,0.7499305555555555,0.9030966072460996,0.3607506291483863,0.0333333333333333,0.1980163192208687,0.1048767569000778,0.0,0.0,5.0,3.0,120.0,0.0,1.3095956245372844,44.62234593834188,1.2391678974699352,0.0666666666666666,0.0146525847900784,50,0.0,True
openml_1044_eye_movements,real_openml_multiclass,real_openml,1.485,3,27,2188,8748,0.0,0.0,,0.0,0.0,False,1998,0.1588372823746425,0.6604484546134991,0.1006864209530385,0.0664981911189985,1.4847560975609757,2.6775231530448576,1.1034976442009858,0.0182784437109604,0.3481891732030848,0.246564621490076,1.5661495420340503,0.0987481535439272,0.1442991653190417,0.1001592533862173,0.1492257673410134,1.0014243722569616,0.9370335931658252,67.47084840033365,0.9836299793869258,0.0195549718186108,0.0035964599363101,0.0023278914441806,0.980133963881842,0.0061602863371819,0.915305679785664,0.0216640259612681,4.220460454842333,1.1048760462251022,0.4067628794679755,0.998987726465204,0.0232122402365746,0.0210543933192311,0.6711711711711712,0.486443313133124,0.0876234849881109,0.4709709709709709,0.4992815651314179,27.0,3.0,1998.0,0.1138722783313948,0.3032655132422401,0.375600192512441,,0.915915915915916,0.704986146010707,71,1.8719791879015548,False
openml_1100_PopularKids,real_openml_multiclass,real_openml,2.7444,3,10,96,382,0.0,0.0,,0.0,0.0,False,382,0.4085950552025668,0.3635935766933161,0.2297771267537148,0.0835454873586966,2.736111111111111,1.605717534239026,0.7241642403828171,0.1264835913158428,0.3230809377450421,0.0267784809666587,1.4662795314659351,0.1447170615488592,0.1697930516976704,0.1450968963560739,0.1702387027519946,1.00262467191601,0.7027823149917833,46.80725987324039,0.9711216469515492,0.0282975939433662,0.638888888888889,0.1272937693043289,0.9930067013890014,0.0035775593641243,0.9930067013890014,0.0035775593641243,3.0406711659313617,0.711314340470799,0.2344048201387439,0.9956689783723034,0.0313258997735991,0.026036099106412,0.675392670157068,,,0.5392670157068062,0.4991094293626746,10.0,3.0,382.0,0.2548757100175035,0.2094796717113132,0.1324708573452262,,0.4790575916230366,0.8013410605592525,13,1.00416709610907,False
"openml_119_BNG(cmc,nominal,55296)",real_openml_multiclass,real_openml,1.8841,3,9,11060,44236,0.0,0.0,,0.0,0.0,False,1999,0.2471314008139817,0.6406673123860864,0.1754537786073485,0.1124075007883534,1.8841099163679809,1.1914525237013214,0.5588285328728431,0.043580036896184,0.2891712482531235,0.081443936539625,1.539461108302692,0.1089952644891661,0.1417025925344236,0.1103808001099598,0.1438571643318283,1.0087234811473782,0.5397091664475755,59.54458439393534,0.970561367809937,0.0217990478271278,1.0,0.0,1.0,0.0,1.0,0.0,2.705059708864372,0.5426991794123495,0.1933468443222784,0.9996786787590894,0.0258539231396413,0.0184936099030353,0.6503251625812907,,,0.5977988994497249,0.4904647931218728,9.0,3.0,1999.0,0.1704972374889186,0.1738731364316096,0.136677589311569,1.02692536007532,0.2311155577788894,0.832575508199044,145,1.1104761928380242,True
openml_11_balance-scale,real_openml_multiclass,real_openml,5.8776,3,4,125,500,0.0,0.0,,0.0,0.0,False,500,0.5416493330559911,0.5781987954869026,0.2983683919643449,0.1725162448451482,5.923076923076923,2.320390317014861,0.0007600874409195,0.1644322702717361,0.435518252698799,0.5517097685387563,1.3170894310222006,0.0167115359047244,0.0171992201640036,0.0167450259566376,0.0172336875390818,1.0020040080160322,0.0459519698286834,9.135470591576926,0.8230013093294993,0.0187060502846893,1.0,0.0,1.0,0.0,1.0,0.0,3.4933066134602195,0.0143273102942509,2.143506561750603,0.963456,0.1441731345768417,0.0148775090326686,0.284,0.3685833345453166,0.147120212230044,0.2,0.4004006010017532,4.0,3.0,500.0,0.5409862701952389,0.6837359655687179,2.1414410958966155,1.3242087283528414,0.304,0.3176691082335754,3,3.783727373185991e-15,True
openml_1222_letter-challenge-unlabele,real_openml_multiclass,real_openml,3.6232,3,16,4000,16000,0.0,0.0,,0.0,0.0,False,2000,0.4475086591340999,0.7186979024395304,0.1842643273312271,0.1324303855473839,3.6231884057971016,2.783424908210661,0.2219067277700661,0.1316886375788909,0.2496360784904612,0.2366732432390936,1.424971556171536,0.1877530569826538,0.2111426600246826,0.185139066436644,0.2105568586320562,0.981787014432545,1.1193890808401132,56.81102071091479,0.984040835979592,0.0170824342648067,0.0836588242820064,0.1269950146739505,0.9256268137814662,0.062569074278806,0.8275584931643016,0.1439367622052251,4.1833138036882,0.2193381404513137,0.2172946643302697,0.999015,0.0250826606939974,0.019304706181845,0.697,,,0.5095,0.500034766175005,16.0,3.0,2000.0,0.3606866299647377,0.1806505674335026,0.2104780496876148,1.1182924690483242,0.809,0.8205266813809021,102,0.0,True
openml_12_mfeat-factors,real_openml_multiclass,real_openml,1.0,10,216,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0,0.6428573663898313,12.380303897207812,7.958769558464778,1.0,3.407915465114128,0.1014764062656962,0.0,0.9297578522844826,0.0474367450427904,3.321928094887362,0.2501939639863951,0.1971975589524465,0.2503504330070245,0.1973208845052623,1.0006253908692933,4.684825065576973,5.279373105114785,0.5090364252349903,0.1404715114492759,9.398379841927972e-30,5.657045689127825e-29,0.2027777777777777,0.1842379862419662,0.0,0.0,6.100615803458012,0.1763724948531804,94.48802265871396,0.978746875,0.6292277565434801,0.1802223917631999,,,,,,216.0,10.0,1600.0,0.0,7.798048933203923,26.317956321672757,,,2.1494773892863446e-09,106,0.04772766785747893,False
