dataset,Baseline_balanced_accuracy,Baseline_f1_macro,Baseline_g_mean,RandomOverSampler_balanced_accuracy,RandomOverSampler_f1_macro,RandomOverSampler_g_mean,SMOTE_balanced_accuracy,SMOTE_f1_macro,SMOTE_g_mean,BorderlineSMOTE_balanced_accuracy,BorderlineSMOTE_f1_macro,BorderlineSMOTE_g_mean,SVMSMOTE_balanced_accuracy,SVMSMOTE_f1_macro,SVMSMOTE_g_mean,ADASYN_balanced_accuracy,ADASYN_f1_macro,ADASYN_g_mean,KMeansSMOTE_balanced_accuracy,KMeansSMOTE_f1_macro,KMeansSMOTE_g_mean,SMOTEENN_balanced_accuracy,SMOTEENN_f1_macro,SMOTEENN_g_mean,SMOTETomek_balanced_accuracy,SMOTETomek_f1_macro,SMOTETomek_g_mean,RandomUnderSampler_balanced_accuracy,RandomUnderSampler_f1_macro,RandomUnderSampler_g_mean,TomekLinks_balanced_accuracy,TomekLinks_f1_macro,TomekLinks_g_mean,ENN_balanced_accuracy,ENN_f1_macro,ENN_g_mean,NCR_balanced_accuracy,NCR_f1_macro,NCR_g_mean
extreme_combo_f100_n20000_ir40_c5_rs323,0.3150747969219524,0.20087906536332256,0.28507312665594015,0.31206197643855216,0.18986949690630175,0.28238662320100233,0.3100600953783207,0.19421584628991054,0.2811542499488164,0.3002552890983177,0.21947867225331227,0.287219656542321,0.2822415303100028,0.21814921393844036,0.11497503284575623,0.31434923009605986,0.19132017898448084,0.2735520942282899,0.22332107474670715,0.20933366437148648,0.044559401455537266,0.3092067645122573,0.19631620023919005,0.28276804522967924,0.31130679505636816,0.19537329654554558,0.28325776923977464,0.3102482257014491,0.19544636837992194,0.2924101184565124,0.31078140384782893,0.21951844161886344,0.29862526836694986,0.2567841685255094,0.1951241956911521,0.0,0.24632496548062668,0.22853694428930715,0.05075132806695929
extreme_ir18_c2_all5_rs213,0.739632189343639,0.7247703417750769,0.7111778718739488,0.7323871856933059,0.7215717479680966,0.7018975285131912,0.7344388204184629,0.699685082135488,0.7106460971657725,0.7400988789247789,0.7066959335550654,0.7175467578430341,0.7316549433740471,0.7161937211715527,0.7017048570905947,0.751179647457529,0.7056495608012443,0.734047436099318,0.7129116371473424,0.6923384273610327,0.6798623648786842,0.7517105913767077,0.6599240642040597,0.7443871978506268,0.7344388204184629,0.699685082135488,0.7106460971657725,0.743695996255974,0.5783220755601043,0.7427099389492646,0.739391577877663,0.7161312422173159,0.7128198671532354,0.7421910053191046,0.690988817859096,0.7247563631947624,0.7543350961981715,0.692108692464443,0.7410159753600896
extreme_ir30_c3_clf_rs222,0.6334590176986351,0.525190232751535,0.6074600263138513,0.6262980951181661,0.49715589873523486,0.6054630142443775,0.6252819151837578,0.4745025328227434,0.6134457382885725,0.6222243630234402,0.49006801290964486,0.6027912355938455,0.5922314414530708,0.5421797175620221,0.5469174306944026,0.6151763650627915,0.44229691247352293,0.6058467258766521,0.5535773326354718,0.5111157468206177,0.5190667763647796,0.6364082351671133,0.44916784959104467,0.62747433554786,0.6252819151837578,0.4745025328227434,0.6134457382885725,0.6110396653852332,0.4354684834407758,0.6091270484206279,0.6373020396129769,0.5513597131897764,0.612148658748271,0.5284486182490903,0.5029475975796852,0.4639036275966945,0.5541170276842095,0.5313545000757982,0.505902102290158
extreme_ir42_c4_all5_rs237,0.6826470195221331,0.5342697302414591,0.6603637613795319,0.6581381635077918,0.53387084629056,0.6366757880603021,0.6500535961771082,0.5186389737000524,0.633110816971075,0.649399506678863,0.5347001283177991,0.6367339966240967,0.6455812382144929,0.533851251550762,0.6234331727731034,0.6661222801345308,0.5321115977919232,0.6523545559737237,0.6218271924824146,0.5295403676184045,0.6022574239791324,0.6513878056224911,0.49358577155542466,0.6430903297627099,0.6500535961771082,0.5186389737000524,0.633110816971075,0.5800501789785755,0.39737475771365977,0.5491382791754461,0.6507772065940095,0.5161273713724849,0.6249993442955809,0.42460984112263384,0.3053550611694013,0.06743321891193978,0.5621960562001697,0.4737509587059711,0.45358593543845566
extreme_ir88_c5_gauss_rs247,0.4184698394478246,0.40797727875205464,0.353115330805438,0.3768106388433969,0.37340464614233726,0.31712122592259456,0.3759004072278112,0.34091773893544824,0.32865290633313055,0.3519994368668198,0.3473044512771443,0.3006149031299865,0.36325284168538835,0.35159522799131104,0.302171348126872,0.38853129531273245,0.3497039020148998,0.34625677922256,0.3768310610716387,0.35075506691681985,0.3341866525895379,0.3567080571076697,0.3245304452104059,0.31476285569934703,0.35803429754644966,0.3283357674267428,0.3092548140707235,0.3569469343979735,0.31352210353500215,0.3117541729252235,0.4042717642231555,0.3924790607388757,0.3368860021775128,0.2797017605841135,0.22328692095337613,0.0,0.28696104494131974,0.2523837916635415,0.0
extreme_large_n20000_ir16_gaussian_quantiles_c3,0.7339004929551954,0.7329796798170197,0.7270302365928604,0.7018697179728582,0.700963458683561,0.694515282833568,0.7158740328673137,0.670770721244994,0.7072266364230981,0.7140639625218389,0.6833349943565797,0.7091131733882663,0.6574468302596205,0.6458885602895653,0.6368484653181196,0.7137105026465315,0.6684702740389046,0.7064002221869975,0.6986205955996869,0.6686436599569384,0.69141258086945,0.6969213193729508,0.6226297662711217,0.6763223010098001,0.7144266492067919,0.6679428799923275,0.7059703388858648,0.7070836612333617,0.6461055094653037,0.7007678270496759,0.723649233294695,0.7177800755083146,0.7153198824495112,0.6451564518484539,0.48041690975978296,0.040939404955811075,0.6547142783689098,0.5273367902330387,0.42668347029957826
extreme_lowd_f3_ir18_moons_c2,0.9813333333333333,0.9800061823824778,0.9812039943881391,0.9876666666666667,0.982047265987025,0.9876072171203871,0.9873333333333333,0.9803830262423228,0.9872754038944512,0.993,0.9944833314833316,0.9929695141194436,0.996,0.9945163348166649,0.9959861827321795,0.993,0.9944833314833316,0.9929695141194436,0.9793333333333334,0.9851301841215298,0.979103543669376,0.988,0.9837402109240342,0.9879386953503819,0.9873333333333333,0.9803830262423228,0.9872754038944512,0.961,0.9116697908282901,0.9609660302497577,0.9813333333333333,0.9800061823824778,0.9812039943881391,0.9813333333333333,0.9800061823824778,0.9812039943881391,0.9813333333333333,0.9800061823824778,0.9812039943881391
extreme_lowd_f3_ir32_moons_circles_c2,0.869990357617542,0.6608958252609537,0.8695640557740797,0.8825906545454981,0.6346332570013228,0.8822760076674672,0.8968500753086818,0.656378209660082,0.8964892560497084,0.8648316231862211,0.6364018713946122,0.8643167044068191,0.8559775593287657,0.649139202692558,0.8552652572890134,0.8848203059482493,0.6390706022974845,0.8841621004186182,0.8910467009533516,0.6426610948840247,0.890551762354748,0.8868560330090096,0.6553157589426429,0.8865905335899044,0.8812995802094287,0.6531709367361088,0.881042145606104,0.8607595709020174,0.6089624559870151,0.860317635375599,0.8582087061382259,0.6547284510136818,0.8571449274143667,0.8661941181467006,0.6510053995744872,0.8657342187826415,0.8670865768704846,0.6533388870120969,0.866577710572687
extreme_manycls10_ir30_classificati_f30,0.49063606858367415,0.496884376959954,0.41676564987288206,0.49229961833432495,0.49822924177192096,0.26836928767237755,0.5139770776434901,0.5110103945527366,0.3103766479489783,0.5039854175581159,0.5015260277448276,0.28955191426770543,0.4788339048974762,0.48094385139176804,0.2729393201906661,0.5350226737342579,0.5310790009752054,0.487679400762854,0.4554929059034328,0.4623545571636867,0.25793039521941424,0.4777340143523617,0.42941694794105806,0.4340835203601907,0.5124333280822186,0.5096759153489002,0.4475454342297059,0.36394363086040354,0.3418931390697721,0.34127491676534283,0.48264963478339656,0.49088179647347435,0.4195884373740442,0.25484733361516054,0.21116988545986703,0.0,0.33451837261351886,0.3394149327364843,0.0
extreme_noise_gamma_sc6_out12_classifica_c3_rs312,0.4834837265667656,0.47362706771472635,0.45881297259949166,0.47190863798607746,0.4605536893225466,0.45027233282820006,0.4585947872370391,0.4349014781769546,0.44253591433917766,0.4686109841427735,0.44452355194755855,0.45239394111364506,0.4431907286520807,0.4514499135602909,0.3671093520009319,0.45175322503910426,0.4256726994210805,0.44020318119671575,0.3944629387438108,0.386716285073391,0.22463156213683053,0.4618263960896111,0.4202147209323417,0.45853409223653685,0.45660564076068905,0.43440109020431367,0.4412059073045194,0.47596860434234706,0.4515246961134583,0.46456701313824844,0.47447393786163355,0.46916591067798713,0.4358300910890558,0.44004572148168736,0.3625374549211544,0.09959362611817757,0.44662516474225705,0.4311379693451862,0.32322258702095324
