sampler,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,f1_macro_mean,f1_macro_std,f1_macro_median,g_mean_mean,g_mean_std,g_mean_median,rank_f1_macro,rank_balanced_accuracy,rank_g_mean,rank_avg
Baseline,0.7104,0.2193,0.723,0.6517,0.2451,0.6245,0.6643,0.2713,0.7101,1,1,4,2.0
SMOTE,0.7082,0.2241,0.7159,0.6468,0.25,0.6137,0.6752,0.2613,0.7005,3,2,3,2.67
SMOTETomek,0.7079,0.2246,0.7144,0.6467,0.2508,0.6193,0.6775,0.2579,0.706,4,3,2,3.0
ADASYN,0.7066,0.2161,0.7138,0.6356,0.2424,0.5861,0.6793,0.245,0.7035,9,4,1,4.67
BorderlineSMOTE,0.6984,0.2259,0.7073,0.644,0.2471,0.6,0.6565,0.2741,0.6805,6,6,6,6.0
SVMSMOTE,0.6974,0.2259,0.6883,0.651,0.2471,0.625,0.6459,0.2833,0.6658,2,8,9,6.33
TomekLinks,0.7013,0.2244,0.7164,0.6435,0.2479,0.6217,0.6539,0.2825,0.7058,7,5,7,6.33
RandomOverSampler,0.6971,0.2262,0.6892,0.6444,0.2495,0.5942,0.6569,0.2725,0.6671,5,9,5,6.33
SMOTEENN,0.6983,0.2288,0.7059,0.6147,0.2676,0.6056,0.6538,0.286,0.6952,10,7,8,8.33
KMeansSMOTE,0.6718,0.237,0.6321,0.6397,0.2523,0.5909,0.6115,0.2968,0.5877,8,10,11,9.67
NCR,0.6666,0.2478,0.6795,0.6104,0.2662,0.5452,0.5534,0.3661,0.6229,11,11,12,11.33
RandomUnderSampler,0.6622,0.2522,0.7038,0.5674,0.2905,0.5424,0.6125,0.3112,0.6723,13,12,10,11.67
ENN,0.6498,0.2507,0.6513,0.579,0.2816,0.5235,0.4758,0.4146,0.5585,12,13,13,12.67
