dataset,sampler,status,n_classes,n_features,n_train,IR,base_type,n_train_resampled,balanced_accuracy,f1_macro,g_mean,error
openml_1002_ipums_la_98-small,Baseline,ok,2,55,5988,8.4627,real_openml,5988.0,0.5377785235533792,0.5448590381426203,0.2858766371018342,
openml_1002_ipums_la_98-small,RandomOverSampler,ok,2,55,5988,8.4627,real_openml,10710.0,0.6112723456953517,0.6385073924169824,0.4953914535601365,
openml_1002_ipums_la_98-small,SMOTE,ok,2,55,5988,8.4627,real_openml,10710.0,0.6415637023662094,0.6480697847067557,0.5705118601149627,
openml_1002_ipums_la_98-small,BorderlineSMOTE,ok,2,55,5988,8.4627,real_openml,10710.0,0.6363548274264754,0.6446480491833133,0.5607134396087718,
openml_1002_ipums_la_98-small,SVMSMOTE,ok,2,55,5988,8.4627,real_openml,10710.0,0.6227725205849822,0.6343277376435736,0.5348836587990784,
openml_1002_ipums_la_98-small,ADASYN,ok,2,55,5988,8.4627,real_openml,10776.0,0.6411902893714372,0.6472619427999008,0.5702839744018106,
openml_1002_ipums_la_98-small,KMeansSMOTE,ok,2,55,5988,8.4627,real_openml,10713.0,0.5839115720214405,0.6067481917947363,0.43661702205865865,
openml_1002_ipums_la_98-small,SMOTEENN,ok,2,55,5988,8.4627,real_openml,8995.0,0.7836473468770384,0.614614279609311,0.7809922256975139,
openml_1002_ipums_la_98-small,SMOTETomek,ok,2,55,5988,8.4627,real_openml,10694.0,0.6391459713937285,0.646779249671352,0.5657529356775725,
openml_1002_ipums_la_98-small,distance_SMOTE,ok,2,55,5988,8.4627,real_openml,10710.0,0.541120333519252,0.5504166979502966,0.3061558237803031,
openml_1002_ipums_la_98-small,cluster_SMOTE,ok,2,55,5988,8.4627,real_openml,10710.0,0.6155193276675396,0.6296165033936274,0.519129528200668,
openml_1002_ipums_la_98-small,CBSO,ok,2,55,5988,8.4627,real_openml,10710.0,0.5905951919531863,0.6094834408976152,0.46106988184857023,
openml_1002_ipums_la_98-small,DBSMOTE,ok,2,55,5988,8.4627,real_openml,10710.0,0.546898781444683,0.5599102583939347,0.31703240102823427,
openml_1002_ipums_la_98-small,MWMOTE,ok,2,55,5988,8.4627,real_openml,10710.0,0.6231648405668315,0.6427405927405927,0.5273456356348726,
openml_1002_ipums_la_98-small,AHC,ok,2,55,5988,8.4627,real_openml,6620.0,0.5476267004471502,0.5600141077640797,0.3343606056142687,
openml_1022_mfeat-pixel,Baseline,ok,2,240,1600,9.0,real_openml,1600.0,0.9625,0.9784447917228001,0.9617692030835673,
openml_1022_mfeat-pixel,RandomOverSampler,ok,2,240,1600,9.0,real_openml,2880.0,0.975,0.9857944456282406,0.9746794344808963,
openml_1022_mfeat-pixel,SMOTE,ok,2,240,1600,9.0,real_openml,2880.0,0.975,0.9857944456282406,0.9746794344808963,
openml_1022_mfeat-pixel,BorderlineSMOTE,ok,2,240,1600,9.0,real_openml,2880.0,0.9875,0.9929774047999438,0.9874208829065749,
openml_1022_mfeat-pixel,SVMSMOTE,ok,2,240,1600,9.0,real_openml,2880.0,0.9875,0.9929774047999438,0.9874208829065749,
openml_1022_mfeat-pixel,ADASYN,ok,2,240,1600,9.0,real_openml,2881.0,0.975,0.9857944456282406,0.9746794344808963,
openml_1022_mfeat-pixel,KMeansSMOTE,ok,2,240,1600,9.0,real_openml,2881.0,0.9625,0.9784447917228001,0.9617692030835673,
openml_1022_mfeat-pixel,SMOTEENN,ok,2,240,1600,9.0,real_openml,2840.0,0.9875,0.9929774047999438,0.9874208829065749,
openml_1022_mfeat-pixel,SMOTETomek,ok,2,240,1600,9.0,real_openml,2880.0,0.975,0.9857944456282406,0.9746794344808963,
openml_1022_mfeat-pixel,distance_SMOTE,ok,2,240,1600,9.0,real_openml,2880.0,0.9625,0.9784447917228001,0.9617692030835673,
openml_1022_mfeat-pixel,cluster_SMOTE,ok,2,240,1600,9.0,real_openml,2880.0,0.975,0.9857944456282406,0.9746794344808963,
openml_1022_mfeat-pixel,CBSO,ok,2,240,1600,9.0,real_openml,2880.0,0.9625,0.9784447917228001,0.9617692030835673,
openml_1022_mfeat-pixel,DBSMOTE,ok,2,240,1600,9.0,real_openml,2880.0,0.9875,0.9929774047999438,0.9874208829065749,
openml_1022_mfeat-pixel,MWMOTE,ok,2,240,1600,9.0,real_openml,2880.0,0.975,0.9857944456282406,0.9746794344808963,
openml_1022_mfeat-pixel,AHC,ok,2,240,1600,9.0,real_openml,1759.0,0.9625,0.9784447917228001,0.9617692030835673,
openml_1121_badges2,Baseline,ok,2,10,235,2.5,real_openml,235.0,1.0,1.0,1.0,
openml_1121_badges2,RandomOverSampler,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,SMOTE,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,BorderlineSMOTE,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,SVMSMOTE,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,ADASYN,ok,2,10,235,2.5,real_openml,339.0,1.0,1.0,1.0,
openml_1121_badges2,KMeansSMOTE,ok,2,10,235,2.5,real_openml,339.0,1.0,1.0,1.0,
openml_1121_badges2,SMOTEENN,ok,2,10,235,2.5,real_openml,333.0,1.0,1.0,1.0,
openml_1121_badges2,SMOTETomek,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,distance_SMOTE,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,cluster_SMOTE,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,CBSO,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,DBSMOTE,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,MWMOTE,ok,2,10,235,2.5,real_openml,336.0,1.0,1.0,1.0,
openml_1121_badges2,AHC,ok,2,10,235,2.5,real_openml,301.0,1.0,1.0,1.0,
openml_1459_artificial-characters,Baseline,ok,10,7,8174,2.36,real_openml,8174.0,0.9091599409601756,0.9091336810373025,0.9074863845577228,
openml_1459_artificial-characters,RandomOverSampler,ok,10,7,8174,2.36,real_openml,11330.0,0.9106903675789345,0.9105351056704798,0.9091579244636303,
openml_1459_artificial-characters,SMOTE,ok,10,7,8174,2.36,real_openml,11330.0,0.9088757133969491,0.908874339980535,0.907359720700601,
openml_1459_artificial-characters,BorderlineSMOTE,ok,10,7,8174,2.36,real_openml,11330.0,0.9123794770932403,0.9130246078821698,0.9109456207023301,
openml_1459_artificial-characters,SVMSMOTE,ok,10,7,8174,2.36,real_openml,11330.0,0.9115475995568547,0.912171530431759,0.9103625555532446,
openml_1459_artificial-characters,ADASYN,error,10,7,8174,2.36,real_openml,,,,,ValueError: No samples will be generated with the provided ratio settings.
openml_1459_artificial-characters,KMeansSMOTE,ok,10,7,8174,2.36,real_openml,11368.0,0.9152926570095584,0.9149659374199516,0.9140026035464763,
openml_1459_artificial-characters,SMOTEENN,ok,10,7,8174,2.36,real_openml,7149.0,0.6736392039352548,0.65798034927738,0.6480243012355794,
openml_1459_artificial-characters,SMOTETomek,ok,10,7,8174,2.36,real_openml,11202.0,0.8883210309343734,0.8872759511037568,0.8864800200230842,
openml_1459_artificial-characters,distance_SMOTE,ok,10,7,8174,2.36,real_openml,11330.0,0.9112456070941859,0.9118027353607652,0.9099302807657337,
