dataset,Baseline_balanced_accuracy,Baseline_f1_macro,Baseline_g_mean,RandomOverSampler_balanced_accuracy,RandomOverSampler_f1_macro,RandomOverSampler_g_mean,SMOTE_balanced_accuracy,SMOTE_f1_macro,SMOTE_g_mean,BorderlineSMOTE_balanced_accuracy,BorderlineSMOTE_f1_macro,BorderlineSMOTE_g_mean,SVMSMOTE_balanced_accuracy,SVMSMOTE_f1_macro,SVMSMOTE_g_mean,ADASYN_balanced_accuracy,ADASYN_f1_macro,ADASYN_g_mean,KMeansSMOTE_balanced_accuracy,KMeansSMOTE_f1_macro,KMeansSMOTE_g_mean,SMOTEENN_balanced_accuracy,SMOTEENN_f1_macro,SMOTEENN_g_mean,SMOTETomek_balanced_accuracy,SMOTETomek_f1_macro,SMOTETomek_g_mean,distance_SMOTE_balanced_accuracy,distance_SMOTE_f1_macro,distance_SMOTE_g_mean,cluster_SMOTE_balanced_accuracy,cluster_SMOTE_f1_macro,cluster_SMOTE_g_mean,CBSO_balanced_accuracy,CBSO_f1_macro,CBSO_g_mean,DBSMOTE_balanced_accuracy,DBSMOTE_f1_macro,DBSMOTE_g_mean,MWMOTE_balanced_accuracy,MWMOTE_f1_macro,MWMOTE_g_mean,AHC_balanced_accuracy,AHC_f1_macro,AHC_g_mean
openml_1002_ipums_la_98-small,0.5377785235533792,0.5448590381426203,0.2858766371018342,0.6112723456953517,0.6385073924169824,0.4953914535601365,0.6415637023662094,0.6480697847067557,0.5705118601149627,0.6363548274264754,0.6446480491833133,0.5607134396087718,0.6227725205849822,0.6343277376435736,0.5348836587990784,0.6411902893714372,0.6472619427999008,0.5702839744018106,0.5839115720214405,0.6067481917947363,0.43661702205865865,0.7836473468770384,0.614614279609311,0.7809922256975139,0.6391459713937285,0.646779249671352,0.5657529356775725,0.541120333519252,0.5504166979502966,0.3061558237803031,0.6155193276675396,0.6296165033936274,0.519129528200668,0.5905951919531863,0.6094834408976152,0.46106988184857023,0.546898781444683,0.5599102583939347,0.31703240102823427,0.6231648405668315,0.6427405927405927,0.5273456356348726,0.5476267004471502,0.5600141077640797,0.3343606056142687
openml_1022_mfeat-pixel,0.9625,0.9784447917228001,0.9617692030835673,0.975,0.9857944456282406,0.9746794344808963,0.975,0.9857944456282406,0.9746794344808963,0.9875,0.9929774047999438,0.9874208829065749,0.9875,0.9929774047999438,0.9874208829065749,0.975,0.9857944456282406,0.9746794344808963,0.9625,0.9784447917228001,0.9617692030835673,0.9875,0.9929774047999438,0.9874208829065749,0.975,0.9857944456282406,0.9746794344808963,0.9625,0.9784447917228001,0.9617692030835673,0.975,0.9857944456282406,0.9746794344808963,0.9625,0.9784447917228001,0.9617692030835673,0.9875,0.9929774047999438,0.9874208829065749,0.975,0.9857944456282406,0.9746794344808963,0.9625,0.9784447917228001,0.9617692030835673
openml_1121_badges2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openml_1459_artificial-characters,0.9091599409601756,0.9091336810373025,0.9074863845577228,0.9106903675789345,0.9105351056704798,0.9091579244636303,0.9088757133969491,0.908874339980535,0.907359720700601,0.9123794770932403,0.9130246078821698,0.9109456207023301,0.9115475995568547,0.912171530431759,0.9103625555532446,,,,0.9152926570095584,0.9149659374199516,0.9140026035464763,0.6736392039352548,0.65798034927738,0.6480243012355794,0.8883210309343734,0.8872759511037568,0.8864800200230842,0.9112456070941859,0.9118027353607652,0.9099302807657337,0.9121375060602898,0.9123097202935944,0.9105945461903543,0.9089625627810543,0.9093193625243015,0.9074409650897288,0.9136529381590552,0.914078483602698,0.9122320056209159,0.908542409364039,0.9077986172673599,0.9070525763907963,0.8768564227330968,0.8595525958271176,0.8643219619599158
openml_1480_ilpd,0.5393338058114813,0.5365159979685119,0.4454669708429317,0.5526222537207655,0.5515679442508711,0.52573730751499,0.6261516654854713,0.6173584905660378,0.6186334130867689,0.6227852586817859,0.608248264597795,0.6194920303120353,0.5933734939759037,0.5838365456199851,0.5859807965931167,0.640148830616584,0.6172504587887975,0.6397532302426876,0.631467044649185,0.6129266521423384,0.6299854317553341,0.6440467753366407,0.5751130215667384,0.6263185948717069,0.6227852586817859,0.608248264597795,0.6194920303120353,0.6087880935506733,0.6057202108355656,0.5928943767880847,0.614103472714387,0.6031929853585904,0.6082354723250462,0.6174698795180723,0.6117586999064069,0.6061929391852666,0.6034727143869596,0.6059171597633136,0.5722126846590895,0.6167611622962438,0.6011363636363636,0.6140338443544923,0.5940822111977321,0.5923344947735192,0.5740675118400692
openml_1498_sa-heart,0.5719774590163935,0.5731147540983607,0.5474418900219635,0.6485655737704918,0.6374269005847953,0.6481373058335053,0.6314036885245902,0.6121768140116763,0.6309146366098385,0.6314036885245902,0.6121768140116763,0.6309146366098385,0.647797131147541,0.6313513513513513,0.6477419795961564,0.6157786885245902,0.5995215311004785,0.6157096398918387,0.6880122950819672,0.6730512789429022,0.6880121043540621,0.6595799180327868,0.6019664545980336,0.6333459158945669,0.6403688524590163,0.6279549036246818,0.6401843996644798,0.6173155737704918,0.6105911330049261,0.6148770368877043,0.6083504098360656,0.596042471042471,0.6081751796812559,0.616547131147541,0.6054067159655716,0.6161255194663705,0.6434426229508197,0.6462950819672131,0.62725004818718,0.6396004098360656,0.6217703349282298,0.6393836683946784,0.6396004098360656,0.6217703349282298,0.6393836683946784
openml_1508_user-knowledge,0.744,0.7614532019704433,0.6435670709429189,0.784,0.7912656641604009,0.6816815848566921,0.784,0.7912656641604009,0.6816815848566921,0.784,0.7912656641604009,0.6816815848566921,0.784,0.7912656641604009,0.6816815848566921,,,,0.784,0.7912656641604009,0.6816815848566921,0.8329230769230769,0.8096116649308138,0.8212883823826137,0.784,0.7912656641604009,0.6816815848566921,0.784,0.8074561403508772,0.7392644357223911,0.784,0.7912656641604009,0.6816815848566921,0.8563076923076924,0.8712626262626262,0.8425567167520268,0.784,0.7912656641604009,0.6816815848566921,0.784,0.820977011494253,0.7392644357223911,0.7781538461538462,0.7817676767676767,0.741720517876667
openml_1524_vertebra-column,0.7916666666666667,0.7839721254355401,0.7905694150420949,0.7916666666666667,0.7839721254355401,0.7905694150420949,0.7666666666666666,0.7631501616220981,0.7637626158259734,0.7547619047619047,0.7479674796747967,0.752772652709081,0.8166666666666667,0.8041917886879126,0.816496580927726,0.7797619047619048,0.7685902957220787,0.7791937224739797,0.8166666666666667,0.8041917886879126,0.816496580927726,0.7559523809523809,0.7383966244725738,0.7559289460184545,0.8166666666666667,0.8041917886879126,0.816496580927726,0.7916666666666667,0.7839721254355401,0.7905694150420949,0.8166666666666667,0.8041917886879126,0.816496580927726,0.8166666666666667,0.8041917886879126,0.816496580927726,0.8035714285714286,0.7995885982956215,0.8017837257372731,0.8166666666666667,0.8041917886879126,0.816496580927726,0.7916666666666667,0.7839721254355401,0.7905694150420949
openml_1557_abalone,0.619595026900704,0.6228236186386877,0.6177051655853685,0.6156761913141328,0.6189871276797819,0.6132558947318925,0.6241190993840352,0.62768908190881,0.6222577674607137,0.6231885534436837,0.6267176956289386,0.6213175350950082,0.6197750852633845,0.6228597748528425,0.6182419338453254,,,,0.6170772969789865,0.6202280707231315,0.6152995721372103,0.6055456895201093,0.6064448188605557,0.6000722136034239,0.6187991581326103,0.6223514827220352,0.6155511916777417,0.6097838141964403,0.6135881458944589,0.6073961946086142,0.6194129618867462,0.6236764458293047,0.6175151331256212,0.6220043204745576,0.6246997493423522,0.6197936359560627,0.6255202050488889,0.6288532494049236,0.6242047973114045,0.6126228398591947,0.6166950316322345,0.6113458175121627,0.5521818859589208,0.5183919599703648,0.46702810785844434
openml_1590_adult,0.7773765290228125,0.7954972355074112,0.7606943432931451,0.8028509852663323,0.8028065993680992,0.796257836954613,0.801803135755135,0.7996002714912787,0.7957656698302854,0.8019060212811588,0.7941381390259428,0.7973826447679137,0.8014183007190532,0.7946100355038219,0.7966206664189652,0.8008992972012029,0.7944902698581078,0.7959665431651258,0.7929727948221441,0.7965169225010931,0.7843940938864287,0.8246998419102737,0.7802268340092657,0.8246198673313432,0.7984101293922911,0.7954950562316376,0.7923432495755264,0.7853077511854427,0.7928108263997787,0.774465029763371,0.7940206443333415,0.7997262235394487,0.7847784341908258,,,,0.7877801982976776,0.793146810488684,0.7780335386767574,,,,0.7888327675924465,0.7952579753843118,0.7787943391865181
openml_335_monks-problems-3,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,,,,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9741379310344828,0.972964195826906,0.9737945687202026,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972,0.9905660377358491,0.990964590964591,0.9905211130872972
openml_36_segment,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9545454545454545,0.9545480281769142,0.9531320923235035,0.9696969696969698,0.9697823085719748,0.9691817460566063,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9718614718614719,0.9719799808035103,0.9713646320698911,0.9632034632034632,0.9636358826798792,0.9627275371391619
