dataset,Baseline_balanced_accuracy,Baseline_f1_macro,Baseline_g_mean,RandomOverSampler_balanced_accuracy,RandomOverSampler_f1_macro,RandomOverSampler_g_mean,SMOTE_balanced_accuracy,SMOTE_f1_macro,SMOTE_g_mean,BorderlineSMOTE_balanced_accuracy,BorderlineSMOTE_f1_macro,BorderlineSMOTE_g_mean,SVMSMOTE_balanced_accuracy,SVMSMOTE_f1_macro,SVMSMOTE_g_mean,ADASYN_balanced_accuracy,ADASYN_f1_macro,ADASYN_g_mean,KMeansSMOTE_balanced_accuracy,KMeansSMOTE_f1_macro,KMeansSMOTE_g_mean,SMOTEENN_balanced_accuracy,SMOTEENN_f1_macro,SMOTEENN_g_mean,SMOTETomek_balanced_accuracy,SMOTETomek_f1_macro,SMOTETomek_g_mean,RandomUnderSampler_balanced_accuracy,RandomUnderSampler_f1_macro,RandomUnderSampler_g_mean,TomekLinks_balanced_accuracy,TomekLinks_f1_macro,TomekLinks_g_mean,ENN_balanced_accuracy,ENN_f1_macro,ENN_g_mean,NCR_balanced_accuracy,NCR_f1_macro,NCR_g_mean
openml_1100_PopularKids,0.4876774699559351,0.4597037890529283,0.4838692203556753,0.4829282418262104,0.4598931671333353,0.4790912480236514,0.4751980070428748,0.4641787851109371,0.4706118037563375,0.4580584460890324,0.4432500179889213,0.451750099909914,0.442206813762575,0.4373396013026692,0.4289935134249293,0.4725360069118079,0.4608323023351032,0.4694795304508954,0.4638053800857584,0.459977634203334,0.4424129744777192,0.4512661266064083,0.4353442000385122,0.4423277265277947,0.4647989640624425,0.4537156615993145,0.458094773878889,0.4704014466445613,0.4233589549915857,0.4538264126825233,0.4806044682680442,0.4505722934853716,0.4770905503251177,0.4468224046506038,0.4232475570333863,0.43909861300726,0.4522240724415276,0.4114271351674452,0.4341835694635906
"openml_119_BNG(cmc,nominal,55296)",0.5316196101915315,0.5108249928902215,0.5255122201831214,0.5293765851572171,0.5083600564270001,0.523110052829309,0.5312995920267599,0.5103476418964409,0.5250257974173816,0.5280181226038133,0.5038577166360381,0.5190679531401236,0.5307554700048768,0.5118254267577823,0.5256643208811099,,,,0.5090115192856488,0.5002860758745301,0.5078941339214936,0.49870275355244,0.4870031053306529,0.4965817422024842,0.5307314420410001,0.5098581783096606,0.5245238699418321,0.529593258345666,0.5096930633556709,0.5240557410827519,0.531179915317896,0.5103644823565409,0.5250331998857773,0.4747749467992708,0.4194880392692641,0.4163264680377225,0.5063326195710868,0.4856463803531292,0.4937200764647163
openml_11_balance-scale,0.6634667755991286,0.6578604660154564,0.5869884980367895,0.6657135076252723,0.6507345462630799,0.6198588273169174,0.6260893246187363,0.6259866557942676,0.4439872426959663,0.616081154684096,0.6180915931734546,0.3935449154043853,0.6399782135076252,0.6410636137406281,0.4853261311520355,0.6284041394335512,0.6298611577868073,0.4739105282861829,0.607979302832244,0.6049421566002514,0.1493572717223937,0.6399101307189542,0.6333150038792207,0.5254377396861933,0.6122004357298475,0.6137998894599797,0.2913675254008552,0.5786356209150326,0.57915207646818,0.4369481710461409,0.6299019607843137,0.6275159329354371,0.5453213019903171,0.6695942265795206,0.652798611472506,0.6255042434704811,0.6592456427015251,0.65015464696283,0.5961406487148648
"openml_133_BNG(glass,nominal,137781)",0.6496137506054122,0.5264303080476149,0.6413316830041281,0.6386430668792226,0.5391677307032795,0.6319228928235469,0.6169018704974024,0.5681836297631321,0.6065307553261297,0.5875733172273548,0.5407063680353329,0.5728393749296611,0.5892412169153401,0.5614307101468688,0.562605994647193,,,,0.5713507124196101,0.5572568557871559,0.5336496881636014,0.5645364547371553,0.5286620020433526,0.5409971557559853,0.6191240486364178,0.5704168816045564,0.6093129828486461,0.5891323094381065,0.4578071530943599,0.534939199337215,0.647994377803731,0.524220113013452,0.6399420546543494,0.5861652093904116,0.4829835875207299,0.5339093892946251,0.595331713655067,0.5180684043236107,0.5448281769717079
openml_1459_artificial-characters,0.7014383673936168,0.6853214733646239,0.6849441795771242,0.7129339753337165,0.697725348517019,0.6986334677848572,0.7061736772230804,0.6939515681715532,0.6930924225464284,0.7107572890941792,0.6971234429254163,0.6962585588121296,0.7005809259737075,0.6870484448307014,0.6858379314801643,,,,0.7030649729012225,0.6873593977897651,0.686034101515686,0.6357161210144043,0.6139129915299887,0.6068922973942131,0.69858566829511,0.685652674566522,0.683888132141249,0.6651294804640565,0.6437882047277285,0.6412663200536443,0.6888648331008903,0.6718745621991591,0.6696220963386282,0.6157559785418124,0.5827819745656905,0.5689067438456217,0.6475607551549502,0.620581679361709,0.6128044887811447
openml_1499_seeds,0.9007648953301128,0.8990325034348561,0.894705780496721,0.9007648953301128,0.8990325034348561,0.894705780496721,0.9007648953301128,0.8990325034348561,0.894705780496721,0.8959339774557166,0.8943953368578142,0.8902455890717498,0.8959339774557166,0.8943953368578142,0.8902455890717498,0.8991545893719807,0.8994286840031521,0.8982012143122464,0.9007648953301128,0.8990325034348561,0.894705780496721,0.8911030595813205,0.8892165340874194,0.883995269430674,0.8911030595813205,0.8893899179817334,0.8844870293371248,0.8959339774557166,0.8943953368578142,0.8902455890717498,0.8911030595813205,0.8893899179817334,0.8844870293371248,0.8667471819645733,0.8662470411997599,0.8607274631938147,0.8715780998389695,0.8710370043230563,0.8658862476044599
openml_1500_seismic-bumps,0.9007648953301128,0.8990325034348561,0.894705780496721,0.9007648953301128,0.8990325034348561,0.894705780496721,0.9007648953301128,0.8990325034348561,0.894705780496721,0.8959339774557166,0.8943953368578142,0.8902455890717498,0.8959339774557166,0.8943953368578142,0.8902455890717498,0.8991545893719807,0.8994286840031521,0.8982012143122464,0.9007648953301128,0.8990325034348561,0.894705780496721,0.8911030595813205,0.8892165340874194,0.883995269430674,0.8911030595813205,0.8893899179817334,0.8844870293371248,0.8959339774557166,0.8943953368578142,0.8902455890717498,0.8911030595813205,0.8893899179817334,0.8844870293371248,0.8667471819645733,0.8662470411997599,0.8607274631938147,0.8715780998389695,0.8710370043230563,0.8658862476044599
openml_1508_user-knowledge,0.8259048067452858,0.8222643278250925,0.8102484598433906,0.8258291780820225,0.8223912735194917,0.8010713683680236,0.7950144831361673,0.7928012565589521,0.7674332354244796,0.7964695007643191,0.8021396672432157,0.768409663197887,0.788717562779823,0.7843472166524951,0.7522851278948082,,,,0.7981988576611713,0.7986923189539707,0.7626635138992232,0.7643510331592145,0.7534049483358051,0.7468990133756064,0.7991698580232497,0.7966264246129245,0.7775261021799961,0.7705091464959337,0.7510179766520383,0.764479199097162,0.7755259219714862,0.7731483644889355,0.7463316507340876,0.6850918912973899,0.6428448463294589,0.1762627529355785,0.724829829328845,0.6990404143764701,0.6037783850769662
openml_1512_heart-long-beach,0.3039653558229409,0.2842953941226621,0.2825892687085359,0.295110513841164,0.2707484140716329,0.2603401334337304,0.2701962926421131,0.2555275383580903,0.1606445327003917,0.2569456572552547,0.2365816873543777,0.1653700716702111,0.2742661077026402,0.2606233521637762,0.1955602303155358,,,,0.2961226595901518,0.2574489076814658,0.2517353907583386,0.1627287172178813,0.0993634296805002,0.0,0.2274646520776551,0.2214733408113035,0.0802347835110922,0.2,0.0537095825984714,0.0,0.2445906117732743,0.2554925095977727,0.1053884520627721,0.2,0.019047619047619,0.0,0.1752846167706848,0.0982920938710412,0.0
openml_1523_vertebra-column,0.8110615963557141,0.807689234437258,0.8036166446322225,0.781027926322044,0.7781808138397285,0.7681809491625285,0.7955040602099426,0.7899051809942899,0.7840126610892079,0.8009625668449196,0.7969577925862499,0.7919859644588741,0.7943612596553772,0.7889813997165338,0.7799158216883262,0.7933471974648444,0.7871608367543327,0.7852903009642064,0.7907961972667854,0.7821105452638313,0.7702798156084619,0.7830441671618141,0.7714322611985742,0.7666263068739928,0.7976926123984948,0.7913207990257615,0.7876789045871,0.7924955436720142,0.7772397328277901,0.777235428040774,0.8047197464844523,0.7925602335596649,0.7943369445446781,0.7631649831649833,0.727858474123615,0.7214436598143671,0.8044820756585462,0.7799711959610328,0.7844641354725143
openml_1548_autoUniv-au4-2500,0.4225845142239886,0.4081262712750139,0.1195880002596986,0.4102451036924976,0.3926574900084384,0.0,0.420023020164126,0.40184126461562,0.0,0.4166868300389775,0.3986705898711016,0.0,0.4193499027258618,0.401350557055518,0.0,,,,0.4113177197223409,0.3923504359858219,0.0,0.3333333333333333,0.0484665511837004,0.0,0.4163287888484113,0.3984139876677954,0.0,0.3783995657000331,0.3421419674061383,0.3747330252480652,0.4128026484495309,0.3954909054222608,0.0,0.3823454011830411,0.3121265558596633,0.3620873802306064,0.4157686753771064,0.413230216425707,0.2588823368247551
openml_1549_autoUniv-au6-750,0.2161830018856204,0.2120492581541017,0.1372874620646433,0.1920542814393281,0.1936698573257067,0.1647989175699071,0.1632536221340667,0.158690208989146,0.0939455559239101,0.1632455359544094,0.161556988594007,0.1054611503540256,0.153779963266935,0.1481822684803993,0.0472698352376626,,,,0.1510378824967559,0.1509527336667411,0.0852855383938998,0.1222621078328234,0.1020651685755999,0.0,0.1641521469520886,0.1627138443193438,0.0,0.1583106529917523,0.1494609643421861,0.0494706339821858,0.1789143143032176,0.1737031544258574,0.1429145370459791,0.1272727272727273,0.0218694727826618,0.0,0.119584003539312,0.1042889840882635,0.0
openml_1551_autoUniv-au6-400,0.2143022283647283,0.2116227091104524,0.0,0.2064165017290017,0.2026050551785846,0.0,0.1984366468741469,0.1937201922575688,0.0,0.1704927939302939,0.1649901725385044,0.0,0.1755191270816271,0.1683736709244944,0.0,,,,0.1937084812084812,0.1884470917865282,0.0,0.1378580284830284,0.1084851292055097,0.031779102774952,0.1754089316589316,0.169994263083074,0.0,0.1832030894530894,0.173324648562562,0.0,0.1543313199563199,0.146917645353927,0.0,0.125,0.0147010200201689,0.0,0.1449730980980981,0.1212627601990417,0.0
openml_1552_autoUniv-au7-1100,0.4246453157989161,0.3994121011830762,0.3893033341166687,0.4143113632262318,0.390491748414018,0.3739262869785196,0.4121642546846746,0.3939267839085548,0.379536222812919,0.4009405493394868,0.3826140720504345,0.3687870100529287,0.3996798921881666,0.3856831626115979,0.36919705107225,,,,0.4044853894762982,0.3886684052680836,0.3717100108272986,0.3287556051157483,0.2836706847033404,0.2684261168506063,0.3986877728901536,0.3780396055449715,0.3643836860929849,0.4172418568973109,0.3783103362237894,0.3669618188430549,0.3886242548214649,0.3603941840810273,0.3359994010578795,0.2658780598289385,0.1875523314420047,0.1043669418998853,0.3349021028358216,0.3097199809400775,0.2908971983057418
openml_1553_autoUniv-au7-700,0.5254475008234695,0.5195868224487203,0.5043668499930928,0.5212628509522792,0.5145993295544414,0.4981432339609835,0.5150465407453587,0.5113004112375944,0.4939002414162299,0.511390107010964,0.5083494034164515,0.4931695361300562,0.5330569174018988,0.5289502651736883,0.5143050769046609,,,,0.5231394009949489,0.5170019274623584,0.5005396191474961,0.4348223108600413,0.3883338499707057,0.323195400623343,0.527602675674644,0.5222203082813385,0.5056829383398497,0.5193691541332037,0.5106777669506273,0.4947723287203495,0.4962043598874521,0.4892228665274614,0.4687777112321247,0.443803858313318,0.3590179555894841,0.2503055788811156,0.4448764536767259,0.3966635324241193,0.3237708767115146
