sampler,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,f1_macro_mean,f1_macro_std,f1_macro_median,g_mean_mean,g_mean_std,g_mean_median,rank_f1_macro,rank_balanced_accuracy,rank_g_mean,rank_avg
ADASYN,0.7302,0.21,0.7706,0.6885,0.2197,0.7177,0.6686,0.2904,0.7682,1,1,1,1.0
SMOTE,0.6832,0.2287,0.7328,0.6526,0.2319,0.6925,0.622,0.2925,0.6892,3,4,2,3.0
SVMSMOTE,0.6779,0.2312,0.7423,0.6542,0.233,0.6843,0.6174,0.2949,0.7081,2,6,3,3.67
Baseline,0.6918,0.2237,0.7394,0.6494,0.2243,0.6631,0.6024,0.322,0.6935,6,2,5,4.33
RandomOverSampler,0.6848,0.2301,0.7399,0.6511,0.2316,0.6813,0.5899,0.3305,0.6508,4,3,7,4.67
SMOTETomek,0.6813,0.2311,0.7269,0.6503,0.2338,0.6945,0.617,0.2982,0.6787,5,5,4,4.67
KMeansSMOTE,0.663,0.2291,0.7238,0.6428,0.231,0.6582,0.5942,0.2994,0.6849,8,9,6,7.67
BorderlineSMOTE,0.6691,0.234,0.7311,0.6429,0.2381,0.6748,0.5764,0.3301,0.6929,7,7,9,7.67
TomekLinks,0.6668,0.2213,0.7073,0.628,0.222,0.6437,0.5686,0.3177,0.6349,9,8,10,9.0
SMOTEENN,0.6521,0.2421,0.6592,0.6012,0.2517,0.6294,0.5832,0.3093,0.6126,10,10,8,9.33
NCR,0.6148,0.2279,0.6321,0.5841,0.2301,0.5769,0.4813,0.3432,0.5515,11,11,11,11.0
ENN,0.558,0.2295,0.5769,0.5077,0.2483,0.5052,0.3643,0.349,0.2756,12,12,13,12.33
RandomUnderSampler,0.5467,0.2755,0.5839,0.4696,0.3001,0.4715,0.4639,0.3472,0.5352,13,13,12,12.67
