sampler,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,f1_macro_mean,f1_macro_std,f1_macro_median,g_mean_mean,g_mean_std,g_mean_median,rank_f1_macro,rank_balanced_accuracy,rank_g_mean,rank_avg
ADASYN,0.8034,0.1641,0.8645,0.8008,0.1653,0.8583,0.7705,0.2248,0.8621,1,1,1,1.0
SMOTE,0.7686,0.2124,0.8301,0.7662,0.2134,0.8185,0.7373,0.2567,0.8213,2,2,2,2.0
SVMSMOTE,0.7671,0.2166,0.8388,0.765,0.2168,0.8185,0.7281,0.2746,0.8388,3,3,4,3.33
SMOTETomek,0.7665,0.2137,0.8206,0.7637,0.2145,0.8096,0.7351,0.2582,0.8165,4,4,3,3.67
BorderlineSMOTE,0.7618,0.2199,0.8108,0.7601,0.2202,0.8089,0.724,0.2732,0.8047,6,5,6,5.67
KMeansSMOTE,0.7613,0.2167,0.8163,0.7627,0.2173,0.8158,0.7185,0.2763,0.8145,5,6,7,6.0
MWMOTE,0.7535,0.2287,0.8184,0.7527,0.2284,0.822,0.7064,0.2959,0.818,8,8,9,8.33
CBSO,0.753,0.233,0.8261,0.7514,0.2334,0.8248,0.7075,0.2956,0.8192,9,9,8,8.67
cluster_SMOTE,0.7525,0.2258,0.8167,0.7528,0.2258,0.817,0.705,0.2938,0.8163,7,10,10,9.0
SMOTEENN,0.7543,0.211,0.7993,0.7272,0.2213,0.7784,0.727,0.2531,0.781,15,7,5,9.0
distance_SMOTE,0.7478,0.2266,0.7953,0.7491,0.2285,0.8096,0.6894,0.3115,0.7925,10,11,12,11.0
DBSMOTE,0.7454,0.2299,0.8073,0.7484,0.2312,0.8103,0.6837,0.3192,0.8021,11,12,13,12.0
RandomOverSampler,0.7434,0.2254,0.7949,0.7448,0.2265,0.8025,0.6921,0.302,0.7925,12,13,11,12.0
AHC,0.7417,0.2276,0.7956,0.7405,0.2305,0.8058,0.6769,0.3181,0.7906,13,14,14,13.67
Baseline,0.7323,0.2253,0.7825,0.7374,0.227,0.7931,0.671,0.3096,0.7727,14,15,15,14.67
