dataset_name,group,gen_base_type,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_n_samples_train,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_spatial_distortion,gen_subsampled_to,CV,HDB,HDB_mean_f1,HDB_std_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,joint_ent.sd,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,nr_attr,nr_class,nr_inst,pIR_cv,p_trace,roy_root,sd_ratio,t1,w_lambda,cluster,dist_to_centroid,is_representative
openml_44382_pol_seed_0_nrows_2000_nclasses,real_openml,real_openml,1.0,2,26,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0,0.0,0.4084122790875522,0.0,1.0,1.2355937516176836,0.9856551762430892,0.0,0.717925627309343,,1.0,0.1005392165600461,0.1333244860175092,0.1006020928680887,0.1334078659337176,1.0006253908692944,0.8511495882908581,27.517585961811054,0.9719648233849656,0.0363527139569305,4.219511916346321e-12,,0.828125,,0.585625,,2.199253354557135,0.9405610764915744,1.0636308451288925,0.978416015625,0.0363403970605488,0.076804953727148,0.14375,0.3044617462055539,0.1289254222764717,0.073125,0.2604229674034521,26.0,2.0,1600.0,0.0,0.5154172063475136,1.0636308451288925,,0.25125,0.4845827936524863,0,0.0,True
pmlb_analcatdata_authorship,real_pmlb,real_pmlb,5.7636,4,70,169,672,0.0,0.0,,0.0,0.0,False,672,0.5003364797518981,0.2332553051678223,4.859190263551706,1.133431907793264,5.75,2.7733126706085973,0.3344567148341882,0.0973528809915665,0.9386471991852078,0.0253321283217205,1.7873756212282004,0.147925249493768,0.115022802144581,0.1481457044110462,0.1151942221179708,1.001490312965722,1.5699667094864822,6.823592497890224,0.7508295467013536,0.1367172438890264,4.4240561228655684e-14,6.82592526288175e-14,0.2704786233001885,0.1617780880652341,0.0,0.0,4.29874773460381,0.3365918350719034,25.10411609376685,0.9184869260204082,0.2619405572329878,0.1633886274330526,0.0223214285714285,0.4352548106072249,0.0264186887911839,0.0089285714285714,0.0941384066135842,70.0,4.0,672.0,0.5781972104110091,2.644459127065321,12.034429602950404,,0.9672619047619048,0.0014194797662517,1,0.0,True
pmlb_calendarDOW,real_pmlb,real_pmlb,2.1818,5,32,80,319,0.0,0.0,,0.0,0.0,False,319,0.2386154512098441,0.3748614757149865,0.5027671394648283,0.1884680318407879,2.2,1.3556645378659056,0.4917298610223019,0.0164864669904449,0.5675061254087559,0.1197784130037629,2.275739008834458,0.2524776605273881,0.1757109671908215,0.2532716154347069,0.1762635174021133,1.0031446540880498,1.744960285958303,22.906059471597555,0.9485620368869394,0.0329540656875752,0.0048237724139766,0.0053415937194617,0.8805622084029432,0.0765167396795833,0.18784885253334,0.1827459260312279,3.532052586241352,0.4580024726279633,2.192802377474722,0.9815548196263796,0.0993509604590116,0.0625678794215169,0.6677115987460815,,,0.3855799373040752,0.4874967108794018,32.0,5.0,319.0,0.3113059457767465,1.3312934141709345,0.9088219449462752,,0.5078369905956113,0.1857781740975426,2,0.0,True
openml_45495_timing-attack-dataset-15-micro,real_openml,real_openml,1.1141,11,124,2000,7996,0.0,0.0,,0.0,0.0,False,1994,0.0348639705508201,0.5898451170368991,0.0057929189998433,0.0034169249854479,1.1135371179039302,0.4625740386357073,1.206678092752294,0.0001359523147143,0.0545939550171409,0.0395314792004289,3.458544846912541,,,0.0033732664866447,0.0512746060151423,0.1369905534982134,0.6759102274477937,630.0451105866084,,,,,0.9808776330812669,0.0061643660271182,0.8211171080484715,0.0256205953797175,3.915629524883753,1.1923617739231254,0.0442549326291316,0.9994524697462498,0.0054893606644966,0.0146411006127896,,,,,,124.0,11.0,1994.0,0.0299153158326762,0.0438696398741016,0.0130540347878325,,,0.9568949802654636,3,0.0,True
openml_46184_Flare,real_openml,real_openml,7.6977,6,11,214,852,0.0,0.0,,0.0,0.0,False,852,0.5371228526179741,0.9613604555575048,4.869979745488837,4.681805946678969,7.794117647058823,0.750083247876346,0.6394821291734956,0.0672573898960106,0.4431917982296579,0.3216265806904059,2.360418192636169,0.1713761752071558,0.1178635578043398,0.1715775573166824,0.118002057872265,1.0011750881316095,0.6886304415816361,10.139050092723808,0.7966945758253825,0.2136018289853045,,,0.4252750233586357,0.4596877876860678,0.3846880903514507,0.4636173168527314,2.8776967723187856,0.4125503095790028,4.47186119372399,0.9735268024421962,0.2328046681937295,0.3451344235876441,0.4366197183098591,,,0.3251173708920187,0.4686938225018162,11.0,6.0,852.0,0.6362511987002984,1.395869479716598,3.5282830656497706,,0.1725352112676056,0.1040126775860358,4,0.0,True
pmlb_ann_thyroid,real_pmlb,real_pmlb,40.1566,3,21,1440,5760,0.0,0.0,,0.0,0.0,False,1999,1.2574220480358111,0.5589041036285507,3.54840070397944,1.9832157147725469,40.097744360902254,1.1814717705690927,1.5447185077420769,0.8808017690048517,0.4126979341600944,0.3657605268517436,0.4470085762543085,,,0.0505672558262543,0.0867913626914746,0.9445476009862076,0.515905878105275,14.32366948887798,,,,,0.035617452948723,0.0387042312564436,0.0,0.0,1.5972726610693142,1.4975878786317576,0.8447577813888164,0.980038543533898,0.031207685754087,0.0658632285017113,0.1185592796398199,0.285417829792764,0.1447499959756776,0.0740370185092546,0.2618966408352653,21.0,3.0,1999.0,0.7708747094470799,0.4744199327228843,0.8204442771192432,,0.1755877938969484,0.5362776673845056,5,0.0,True
openml_44700_Fashion-MNIST_seed_2_nrows_200,real_openml,real_openml,1.0,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0,0.7569168424265384,6.00816440439415,4.547680829753544,1.0,2.0156752361651997,1.0859570186362706,0.0,0.7157716280074112,0.1899422920521596,3.321928094887362,,,0.2098846133487401,0.1751012035466023,0.9906191369606,2.7350669734897117,8.631887453869409,,,,,0.5090972222222223,0.3108927576179086,0.0,0.0,4.952759562799044,0.9670867166227476,21.855753601831623,0.99102109375,0.3848437682535173,0.1870718392302019,0.37,0.4398343342983806,0.0838483238285019,0.2425,0.4287290874130145,100.0,10.0,1600.0,0.0,4.8995858056236425,10.014005769619995,,0.765625,0.00015968726819,6,0.0,True
openml_44443_covertype_seed_0_nrows_2000_nc,real_openml,real_openml,1.0,2,54,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0,0.0,0.7576523624218707,0.0,1.0,0.7800054133575456,1.3056917650360698,0.0,0.6258507645044198,,1.0,,,0.0357360724012447,0.0739073792251344,0.7967942927292492,0.7274582786938739,102.1161514798771,,,,,0.965625,,0.9375,,1.7702126432079868,1.2952901412285376,0.6438964525803427,0.996794921875,0.0097927701495591,0.0321170059656036,0.43,0.4110494410575559,0.1399594716540569,0.2575,0.4373937823352269,54.0,2.0,1600.0,0.0,0.3916891794307667,0.6438964525803427,,0.604375,0.6083108205692334,7,0.0,True
openml_41882_FOREX_audjpy-day-High,real_openml,real_openml,1.0561,2,11,367,1465,0.0,0.0,,0.0,0.0,False,1465,0.0266211604095563,0.0,0.0183174955903261,0.0,1.0546984572230014,3.459424232177723,2.995223781400528e-06,0.0014163686022461,0.4875079667203353,,0.9994887305819136,0.6433736526770907,0.3815995861413396,0.6438131155546026,0.3818602415963542,1.0006830601092906,2.4767468263371715,214.26954171059825,0.9977384985298376,0.003628176495983,0.3641269413015018,,0.9959044368600682,,0.9631399317406144,,4.454248329967675,0.0044833604209042,0.3117575755410387,0.998549080362031,0.0046646327919619,0.0044843824349077,0.6559726962457337,0.4890646044697708,0.1117627578248434,0.4668941979522184,0.4990731632418495,11.0,2.0,1465.0,0.0,0.2376640176157955,0.3117575755410387,,0.8129692832764505,0.7623359823842044,8,0.0,True
openml_45545_Tour-and-Travels-Customer-Chur,real_openml,real_openml,3.2589,2,6,191,763,0.0,0.0,,0.0,0.0,False,763,0.5307994757536042,0.0,0.5388295301151028,0.0,3.2625698324022347,1.5735681182709895,0.6920706861867072,0.4396309806833076,0.477926158961345,,0.7859447953060482,0.1068750513634407,0.1197701713427497,0.107015307336359,0.1199273500452996,1.0013123359580078,0.3863366977696323,12.688744678815222,0.9498989493848036,0.0620368406077635,1.0,,1.0,,1.0,,2.2975726022853906,0.6906640989654107,0.2960308245272063,0.9768125750426424,0.0619403112916473,0.0489597954587007,0.2568807339449541,,,0.1389252948885976,0.3460954284484624,6.0,2.0,763.0,0.0,0.2284134134195448,0.2960308245272063,,0.145478374836173,0.7715865865804551,9,0.0,True
